Site Name	SiteID	Meta Category	L1	L2	L3	L4	L5	L6	Cat ID	Level	Leaf	Breadcrumb	Category Name	Business Vertical (Direct Child Categories)	ODI Product Space	Lead	Category RYG Status	ET Name	GH Batch	ET Alignment	ET Alignment: Comment	Cat ID Site Alignment	Legal/Policy Requests	Focus Category – Category	Focus Category – Aspect	Planned CR	Comments	Test Category Flag	Test Category	Other Category	Key
AU	15	Food & Drinks	Food & Drinks						14308	1	No	Food & Drinks [14308]	Food & Drinks	Home & Garden	Home & Garden	Rebecca Ruprecht	Green					US|UK|AU|DE|FR|IT|ES							N		15_14308
AU	15	Food & Drinks		Alcohol & Alcohol Mixers					179836	2	No	Food & Drinks [14308] > Alcohol & Alcohol Mixers [179836]	Alcohol & Alcohol Mixers	Home & Garden	Home & Garden	Rebecca Ruprecht	Green					US|UK|AU|DE|FR|IT|ES							N		15_179836
AU	15	Food & Drinks			Beer				148495	3	Yes	Food & Drinks [14308] > Alcohol & Alcohol Mixers [179836] > Beer [148495]	Beer	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Alcoholic Drink	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_148495
AU	15	Food & Drinks			Cider				182109	3	Yes	Food & Drinks [14308] > Alcohol & Alcohol Mixers [179836] > Cider [182109]	Cider	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Alcoholic Drink	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_182109
AU	15	Food & Drinks			Cocktail & Mixes				258856	3	Yes	Food & Drinks [14308] > Alcohol & Alcohol Mixers [179836] > Cocktail & Mixes [258856]	Cocktail & Mixes	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Alcoholic Drink	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_258856
AU	15	Food & Drinks			Absinthe				258505	3	Yes	Food & Drinks [14308] > Alcohol & Alcohol Mixers [179836] > Absinthe [258505]	Absinthe	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Alcoholic Drink	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_258505
AU	15	Food & Drinks			Brandy, Cognac & Distilled Wine				258507	3	Yes	Food & Drinks [14308] > Alcohol & Alcohol Mixers [179836] > Brandy, Cognac & Distilled Wine [258507]	Brandy, Cognac & Distilled Wine	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Alcoholic Drink	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_258507
AU	15	Food & Drinks			Sake, Soju & Rice Based				258506	3	Yes	Food & Drinks [14308] > Alcohol & Alcohol Mixers [179836] > Sake, Soju & Rice Based [258506]	Sake, Soju & Rice Based	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Alcoholic Drink	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_258506
AU	15	Food & Drinks			Gin				258855	3	Yes	Food & Drinks [14308] > Alcohol & Alcohol Mixers [179836] > Gin [258855]	Gin	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Alcoholic Drink	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_258855
AU	15	Food & Drinks			Liqueurs				258857	3	Yes	Food & Drinks [14308] > Alcohol & Alcohol Mixers [179836] > Liqueurs [258857]	Liqueurs	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Alcoholic Drink	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_258857
AU	15	Food & Drinks			Rum				258508	3	Yes	Food & Drinks [14308] > Alcohol & Alcohol Mixers [179836] > Rum [258508]	Rum	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Alcoholic Drink	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_258508
AU	15	Food & Drinks			Tequila & Agave Drinks				258509	3	Yes	Food & Drinks [14308] > Alcohol & Alcohol Mixers [179836] > Tequila & Agave Drinks [258509]	Tequila & Agave Drinks	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Alcoholic Drink	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_258509
AU	15	Food & Drinks			Vodka & Akvavit				258850	3	Yes	Food & Drinks [14308] > Alcohol & Alcohol Mixers [179836] > Vodka & Akvavit [258850]	Vodka & Akvavit	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Alcoholic Drink	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_258850
