Site Name	SiteID	Meta Category	L1	L2	L3	L4	L5	L6	Cat ID	Level	Leaf	Breadcrumb	Category Name	Business Vertical (Direct Child Categories)	ODI Product Space	Lead	Category RYG Status	ET Name	GH Batch	ET Alignment	ET Alignment: Comment	Cat ID Site Alignment	Legal/Policy Requests	Focus Category – Category	Focus Category – Aspect	Planned CR	Comments	Test Category Flag	Test Category	Other Category	Key
ES	186	Arte y antigüedades	Arte y antigüedades						353	1	No	Arte y antigüedades [353]	Arte y antigüedades	Collectibles		Francesca Contessotto	Green					DE|FR|IT|ES							N		186_353
ES	186	Arte y antigüedades		Antigüedades rústicas					167538	2	No	Arte y antigüedades [353] > Antigüedades rústicas [167538]	Antigüedades rústicas	Collectibles		Francesca Contessotto	Green					ES							N		186_167538
ES	186	Arte y antigüedades			Decoración				167534	3	Yes	Arte y antigüedades [353] > Antigüedades rústicas [167538] > Decoración [167534]	Decoración	Collectibles		Francesca Contessotto	Green					ES							N		186_167534
ES	186	Arte y antigüedades			Herramientas				167535	3	Yes	Arte y antigüedades [353] > Antigüedades rústicas [167538] > Herramientas [167535]	Herramientas	Collectibles		Francesca Contessotto	Green					ES							N		186_167535
ES	186	Arte y antigüedades			Muebles				167536	3	Yes	Arte y antigüedades [353] > Antigüedades rústicas [167538] > Muebles [167536]	Muebles	Collectibles		Francesca Contessotto	Green					ES							N		186_167536
ES	186	Arte y antigüedades			Peculiaridades				167537	3	Yes	Arte y antigüedades [353] > Antigüedades rústicas [167538] > Peculiaridades [167537]	Peculiaridades	Collectibles		Francesca Contessotto	Green					ES							N		186_167537
ES	186	Arte y antigüedades			Utensilios de cocina				167539	3	Yes	Arte y antigüedades [353] > Antigüedades rústicas [167538] > Utensilios de cocina [167539]	Utensilios de cocina	Collectibles		Francesca Contessotto	Green					ES							N		186_167539
ES	186	Arte y antigüedades			Otros				93857	3	Yes	Arte y antigüedades [353] > Antigüedades rústicas [167538] > Otros [93857]	Otros	Collectibles		Francesca Contessotto	Green					ES							N	Y	186_93857
ES	186	Arte y antigüedades		Aparatos y máquinas antiguas					98633	2	No	Arte y antigüedades [353] > Aparatos y máquinas antiguas [98633]	Aparatos y máquinas antiguas	Collectibles		Francesca Contessotto	Green					ES							N		186_98633
ES	186	Arte y antigüedades			Calculadoras y registradoras				105284	3	Yes	Arte y antigüedades [353] > Aparatos y máquinas antiguas [98633] > Calculadoras y registradoras [105284]	Calculadoras y registradoras	Collectibles		Francesca Contessotto	Green					ES							N		186_105284
ES	186	Arte y antigüedades			Herramientas				67757	3	Yes	Arte y antigüedades [353] > Aparatos y máquinas antiguas [98633] > Herramientas [67757]	Herramientas	Collectibles		Francesca Contessotto	Green					UK|ES							N		186_67757
ES	186	Arte y antigüedades			Manuales y revistas				167533	3	Yes	Arte y antigüedades [353] > Aparatos y máquinas antiguas [98633] > Manuales y revistas [167533]	Manuales y revistas	Collectibles		Francesca Contessotto	Green					ES							N		186_167533
ES	186	Arte y antigüedades			Máquinas de coser				605	3	Yes	Arte y antigüedades [353] > Aparatos y máquinas antiguas [98633] > Máquinas de coser [605]	Máquinas de coser	Collectibles		Francesca Contessotto	Green					US|UK|ES							N		186_605
ES	186	Arte y antigüedades			Máquinas de escribir				80004	3	Yes	Arte y antigüedades [353] > Aparatos y máquinas antiguas [98633] > Máquinas de escribir [80004]	Máquinas de escribir	Collectibles		Francesca Contessotto	Green					UK|FR|ES							N		186_80004
ES	186	Arte y antigüedades			Radios antiguas				932	3	Yes	Arte y antigüedades [353] > Aparatos y máquinas antiguas [98633] > Radios antiguas [932]	Radios antiguas	Collectibles		Francesca Contessotto	Green					US|UK|AU|DE|ES							N		186_932
ES	186	Arte y antigüedades			Teléfonos y telégrafos				985	3	Yes	Arte y antigüedades [353] > Aparatos y máquinas antiguas [98633] > Teléfonos y telégrafos [985]	Teléfonos y telégrafos	Collectibles		Francesca Contessotto	Green					US|UK|DE|ES							N		186_985
ES	186	Arte y antigüedades			Tocadiscos, gramófonos				1442	3	Yes	Arte y antigüedades [353] > Aparatos y máquinas antiguas [98633] > Tocadiscos, gramófonos [1442]	Tocadiscos, gramófonos	Collectibles		Francesca Contessotto	Green					US|UK|DE|IT|ES							N		186_1442
ES	186	Arte y antigüedades			Utensilios de cocina y hogar				82	3	Yes	Arte y antigüedades [353] > Aparatos y máquinas antiguas [98633] > Utensilios de cocina y hogar [82]	Utensilios de cocina y hogar	Collectibles		Francesca Contessotto	Green					ES							N		186_82
ES	186	Arte y antigüedades			Otros				98636	3	Yes	Arte y antigüedades [353] > Aparatos y máquinas antiguas [98633] > Otros [98636]	Otros	Collectibles		Francesca Contessotto	Green					ES							N	Y	186_98636
ES	186	Arte y antigüedades		Arqueología y fósiles					37903	2	No	Arte y antigüedades [353] > Arqueología y fósiles [37903]	Arqueología y fósiles	Collectibles		Francesca Contessotto	Green					ES							N		186_37903
ES	186	Arte y antigüedades			Egipcia				37905	3	Yes	Arte y antigüedades [353] > Arqueología y fósiles [37903] > Egipcia [37905]	Egipcia	Collectibles		Francesca Contessotto	Green					ES							N		186_37905
ES	186	Arte y antigüedades			Fósiles				116424	3	Yes	Arte y antigüedades [353] > Arqueología y fósiles [37903] > Fósiles [116424]	Fósiles	Collectibles		Francesca Contessotto	Green					ES							N		186_116424
ES	186	Arte y antigüedades			Griega y romana				37906	3	Yes	Arte y antigüedades [353] > Arqueología y fósiles [37903] > Griega y romana [37906]	Griega y romana	Collectibles		Francesca Contessotto	Green					ES							N		186_37906
ES	186	Arte y antigüedades			Neolítica y paleolítica				66834	3	Yes	Arte y antigüedades [353] > Arqueología y fósiles [37903] > Neolítica y paleolítica [66834]	Neolítica y paleolítica	Collectibles		Francesca Contessotto	Green					ES							N		186_66834
ES	186	Arte y antigüedades			Otros				73464	3	Yes	Arte y antigüedades [353] > Arqueología y fósiles [37903] > Otros [73464]	Otros	Collectibles		Francesca Contessotto	Green					ES							N	Y	186_73464
ES	186	Arte y antigüedades		Arte étnico/Artesanía de mundo					150974	2	No	Arte y antigüedades [353] > Arte étnico/Artesanía de mundo [150974]	Arte étnico/Artesanía de mundo	Collectibles		Francesca Contessotto	Green					ES							N		186_150974
ES	186	Arte y antigüedades			Africano/Egipcio				4171	3	Yes	Arte y antigüedades [353] > Arte étnico/Artesanía de mundo [150974] > Africano/Egipcio [4171]	Africano/Egipcio	Collectibles		Francesca Contessotto	Green					US|UK|DE|IT|ES							N		186_4171
ES	186	Arte y antigüedades			Oriental/Indio/Tibetano				2194	3	Yes	Arte y antigüedades [353] > Arte étnico/Artesanía de mundo [150974] > Oriental/Indio/Tibetano [2194]	Oriental/Indio/Tibetano	Collectibles		Francesca Contessotto	Green					US|UK|AU|DE|IT|ES							N		186_2194
ES	186	Arte y antigüedades			Otras				2204	3	Yes	Arte y antigüedades [353] > Arte étnico/Artesanía de mundo [150974] > Otras [2204]	Otras	Collectibles		Francesca Contessotto	Green					US|UK|AU|ES							N	Y	186_2204
ES	186	Arte y antigüedades		Arte digital y foto artística					20118	2	Yes	Arte y antigüedades [353] > Arte digital y foto artística [20118]	Arte digital y foto artística	Collectibles		Francesca Contessotto	Green					FR|IT|ES							N		186_20118
