Site Name	SiteID	Meta Category	L1	L2	L3	L4	L5	L6	Cat ID	Level	Leaf	Breadcrumb	Category Name	Business Vertical (Direct Child Categories)	ODI Product Space	Lead	Category RYG Status	ET Name	GH Batch	ET Alignment	ET Alignment: Comment	Cat ID Site Alignment	Legal/Policy Requests	Focus Category – Category	Focus Category – Aspect	Planned CR	Comments	Test Category Flag	Test Category	Other Category	Key
IT	101	Abbigliamento e accessori	Abbigliamento e accessori						11450	1	No	Abbigliamento e accessori [11450]	Abbigliamento e accessori	Fashion		Francesca Contessotto	Red					US|UK|AU|DE|FR|IT|ES							N		101_11450
IT	101	Abbigliamento e accessori		Donna					260010	2	No	Abbigliamento e accessori [11450] > Donna [260010]	Donna	Fashion		Francesca Contessotto	Green					US|UK|AU|DE|FR|IT|ES							N		101_260010
IT	101	Abbigliamento e accessori			Abbigliamento				15724	3	No	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724]	Abbigliamento	Fashion		Francesca Contessotto	Green					US|UK|AU|DE|FR|IT|ES							N		101_15724
IT	101	Abbigliamento e accessori				Abbigliamento sportivo			185098	4	No	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Abbigliamento sportivo [185098]	Abbigliamento sportivo	Fashion		Francesca Contessotto	Green					US|UK|AU|DE|FR|IT|ES							N		101_185098
IT	101	Abbigliamento e accessori					Felpe		155226	5	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Abbigliamento sportivo [185098] > Felpe [155226]	Felpe	Fashion		Francesca Contessotto	Green	Sweater	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_155226
IT	101	Abbigliamento e accessori					Giacche		185079	5	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Abbigliamento sportivo [185098] > Giacche [185079]	Giacche	Fashion		Francesca Contessotto	Green	Outerwear	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_185079
IT	101	Abbigliamento e accessori					Gonne e skort		261046	5	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Abbigliamento sportivo [185098] > Gonne e skort [261046]	Gonne e skort	Fashion		Francesca Contessotto	Green	Skirt	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_261046
IT	101	Abbigliamento e accessori					Pantaloncini		260955	5	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Abbigliamento sportivo [185098] > Pantaloncini [260955]	Pantaloncini	Fashion		Francesca Contessotto	Green	Shorts	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_260955
IT	101	Abbigliamento e accessori					Pantaloni		260954	5	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Abbigliamento sportivo [185098] > Pantaloni [260954]	Pantaloni	Fashion		Francesca Contessotto	Green	Pants	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_260954
IT	101	Abbigliamento e accessori					Parte alta		185082	5	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Abbigliamento sportivo [185098] > Parte alta [185082]	Parte alta	Fashion		Francesca Contessotto	Green	Shirt	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_185082
IT	101	Abbigliamento e accessori					Reggiseni sportivi		185083	5	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Abbigliamento sportivo [185098] > Reggiseni sportivi [185083]	Reggiseni sportivi	Fashion		Francesca Contessotto	Green	Bra	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_185083
IT	101	Abbigliamento e accessori					Tute e set		185084	5	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Abbigliamento sportivo [185098] > Tute e set [185084]	Tute e set	Fashion		Francesca Contessotto	Green	One-Piece & Set	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_185084
IT	101	Abbigliamento e accessori				Biancheria intima e da notte			11514	4	No	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Biancheria intima e da notte [11514]	Biancheria intima e da notte	Fashion		Francesca Contessotto	Green					US|UK|AU|DE|FR|IT|ES							N		101_11514
IT	101	Abbigliamento e accessori					Biancheria da notte		63855	5	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Biancheria intima e da notte [11514] > Biancheria da notte [63855]	Biancheria da notte	Fashion		Francesca Contessotto	Green	Sleepwear	CSA Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_63855
IT	101	Abbigliamento e accessori					Biancheria modellante		11530	5	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Biancheria intima e da notte [11514] > Biancheria modellante [11530]	Biancheria modellante	Fashion		Francesca Contessotto	Green	Underwear	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_11530
IT	101	Abbigliamento e accessori					Body		45279	5	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Biancheria intima e da notte [11514] > Body [45279]	Body	Fashion		Francesca Contessotto	Green	Underwear	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_45279
IT	101	Abbigliamento e accessori					Corsetti, bustini e guêpiere		11522	5	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Biancheria intima e da notte [11514] > Corsetti, bustini e guêpiere [11522]	Corsetti, bustini e guêpiere	Fashion		Francesca Contessotto	Green	Bra	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_11522
IT	101	Abbigliamento e accessori					Reggicalze		163586	5	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Biancheria intima e da notte [11514] > Reggicalze [163586]	Reggicalze	Fashion		Francesca Contessotto	Green	Underwear	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_163586
IT	101	Abbigliamento e accessori					Reggiseni e completi intimi		63853	5	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Biancheria intima e da notte [11514] > Reggiseni e completi intimi [63853]	Reggiseni e completi intimi	Fashion		Francesca Contessotto	Green	Bra	CSA Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_63853
IT	101	Abbigliamento e accessori					Accessori reggiseni		163593	5	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Biancheria intima e da notte [11514] > Accessori reggiseni [163593]	Accessori reggiseni	Fashion		Francesca Contessotto	Green	Bra	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_163593
IT	101	Abbigliamento e accessori					Slip		63854	5	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Biancheria intima e da notte [11514] > Slip [63854]	Slip	Fashion		Francesca Contessotto	Green	Underwear	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_63854
IT	101	Abbigliamento e accessori					Sottogonne e sottovesti		11532	5	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Biancheria intima e da notte [11514] > Sottogonne e sottovesti [11532]	Sottogonne e sottovesti	Fashion		Francesca Contessotto	Green	Underwear	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_11532
IT	101	Abbigliamento e accessori					Top e canottiere		11521	5	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Biancheria intima e da notte [11514] > Top e canottiere [11521]	Top e canottiere	Fashion		Francesca Contessotto	Green	Underwear	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_11521
IT	101	Abbigliamento e accessori				Calzetteria e calzini			11524	4	No	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Calzetteria e calzini [11524]	Calzetteria e calzini	Fashion		Francesca Contessotto	Green					US|UK|AU|DE|FR|IT|ES							N		101_11524
IT	101	Abbigliamento e accessori					Calze		11525	5	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Calzetteria e calzini [11524] > Calze [11525]	Calze	Fashion		Francesca Contessotto	Green	Socks & Hosiery	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_11525
IT	101	Abbigliamento e accessori					Calzini		163588	5	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Calzetteria e calzini [11524] > Calzini [163588]	Calzini	Fashion		Francesca Contessotto	Green	Socks & Hosiery	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_163588
IT	101	Abbigliamento e accessori					Collant, autoreggenti e parigine		11527	5	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Calzetteria e calzini [11524] > Collant, autoreggenti e parigine [11527]	Collant, autoreggenti e parigine	Fashion		Francesca Contessotto	Green	Socks & Hosiery	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_11527
IT	101	Abbigliamento e accessori					Scaldamuscoli		163587	5	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Calzetteria e calzini [11524] > Scaldamuscoli [163587]	Scaldamuscoli	Fashion		Francesca Contessotto	Green	Socks & Hosiery	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_163587
IT	101	Abbigliamento e accessori				Cappotti, giacche e gilet			63862	4	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Cappotti, giacche e gilet [63862]	Cappotti, giacche e gilet	Fashion		Francesca Contessotto	Green	Outerwear	CSA Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_63862
IT	101	Abbigliamento e accessori				Completi e set			260011	4	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Completi e set [260011]	Completi e set	Fashion		Francesca Contessotto	Green	One-Piece & Set	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_260011
IT	101	Abbigliamento e accessori				Gonne			63864	4	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Gonne [63864]	Gonne	Fashion		Francesca Contessotto	Green	Skirt	CSA Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_63864
