Cat ID,Label,Path
1,Collectibles,[1]
12,Other Antiques,"[20081, 12]"
28,Other Collectible Metalware,"[1, 1430, 28]"
30,Other Vintage & Antique Toys,"[220, 717, 30]"
34,Collectible Advertising,"[1, 34]"
35,Other Collectible Advertising Merchandise & Memorabilia,"[1, 34, 13623, 35]"
36,Collectible Soda Advertising,"[1, 34, 36]"
37,Other Soda Merchandise & Memorabilia,"[1, 34, 36, 35692, 37]"
38,Other Coca-Cola Advertising,"[1, 34, 36, 13600, 38]"
39,Collectible Gas & Oil Advertising,"[1, 34, 39]"
40,Other Gas & Oil Advertising,"[1, 34, 39, 40]"
41,Esso Advertising,"[1, 34, 39, 156204, 41]"
42,Other Texaco Advertising,"[1, 34, 39, 156204, 35672, 42]"
44,Collectible Tobacco Cigarettes,"[1, 593, 44]"
51,Original Sport Autographed Items,"[64482, 51]"
52,Other Original Sport Autographed Items,"[64482, 51, 52]"
53,Other MLB Autographed Items,"[64482, 51, 27259, 53]"
56,Other Hockey Autographed Items,"[64482, 51, 56]"
57,Original Autographed Entertainment Memorabilia,"[45100, 57]"
58,Other Original Autographed Entertainment Memorabilia,"[45100, 57, 58]"
59,Other Original Autographed Movie Memorabilia,"[45100, 57, 32987, 59]"
60,Original Autographed TV Memorabilia,"[45100, 57, 60]"
61,Other Original Autographed Rock & Pop Memorabilia,"[45100, 57, 29860, 108726, 61]"
63,"Comic Books, Manga & Memorabilia","[1, 63]"
80,Comic Book & Manga Collectible Figurines,"[1, 63, 259116, 80]"
99,Everything Else,[99]
113,Sewing Collectibles (1930-Now),"[1, 113]"
114,Other Sewing Collectibles,"[1, 113, 114]"
115,Other Collectible & Vintage Sewing Buttons (1930-Now),"[1, 113, 41192, 115]"
116,Other Collectible & Vintage Thimbles (1930-Now),"[1, 113, 38060, 116]"
118,Other Breweriana & Beer Collectibles,"[1, 562, 118]"
124,Paper Collectibles,"[1, 124]"
125,Other Paper Collectibles,"[1, 124, 125]"
126,Collectible Paper Ephemera (1960-Now),"[1, 124, 41187, 126]"
128,Other Cultural & Ethnic Collectibles,"[1, 3913, 128]"
130,Other Railroadiana & Trains,"[1, 417, 1444, 130]"
132,Other Collectible Radios,"[1, 29832, 931, 132]"
133,Other Tobacciana,"[1, 593, 133]"
134,Original WW I United States Collectibles,"[1, 13956, 13962, 156389, 134]"
135,Other Militaria,"[1, 13956, 135]"
136,Other Original Civil War Period Items,"[1, 13956, 13958, 36033, 136]"
137,Disneyana,"[1, 137]"
138,Other Disney Collectibles (1968-Now),"[1, 137, 1369, 138]"
139,Vintage Disney Collectibles (Pre-1968),"[1, 137, 139]"
140,Other Vintage Disneyana (Pre-1968),"[1, 137, 139, 140]"
142,Disney Plush Toys (1968-Now),"[1, 137, 1369, 142]"
143,Other Disney Patches & Pins (1968-Now),"[1, 137, 1369, 38004, 143]"
144,"Disney Posters, Prints & Lithos (1968-Now)","[1, 137, 1369, 144]"
150,Other Collectible Lunchboxes & Thermoses,"[1, 39507, 1409, 150]"
152,Sci-Fi & Horror Collectibles,"[1, 152]"
153,Other Science Fiction & Horror Collectibles,"[1, 152, 153]"
154,Other Collectible Star Wars Products (Non-Film Specific),"[1, 152, 8675, 154]"
155,Other Star Trek Collectibles,"[1, 152, 29493, 155]"
156,X-Files Collectibles,"[1, 152, 156]"
158,Other Collectible Pens & Writing Instruments,"[1, 966, 158]"
162,"Other Computers, Tablets & Network Equipment, Parts & Accessories","[58058, 162]"
164,Computer Processors (CPUs),"[58058, 175673, 164]"
165,"Computer Drives, Storage & Blank Media","[58058, 165]"
167,"Other Drives, Storage & Blank Media","[58058, 165, 167]"
169,"Floppy, Zip & Jaz Drives","[58058, 165, 169]"
170,"Other Computer Keyboards, Mice & Pointers","[58058, 3676, 170]"
177,PC Laptops & Netbooks,"[58058, 175672, 177]"
179,PC Desktops & All-In-One Computers,"[58058, 171957, 179]"
182,Other Computer Software,"[58058, 18793, 182]"
185,Web & Desktop Publishing Software,"[58058, 18793, 185]"
196,Movie Memorabilia,"[45100, 196]"
197,Other Movie Memorabilia,"[45100, 196, 197]"
198,Other Original US Lobby Cards,"[45100, 196, 18821, 60301, 198]"
200,Black & White Movie Photos (1990-1999),"[45100, 196, 18823, 60325, 200]"
201,Other TV Memorabilia,"[45100, 1424, 201]"
204,Other Baseball Fan Apparel & Souvenirs,"[64482, 24409, 204]"
205,Other Basketball Fan Apparel & Souvenirs,"[64482, 24409, 205]"
206,NFL Fan Apparel & Souvenirs,"[64482, 24409, 206]"
209,Antique Western Americana Collectibles,"[1, 3913, 4007, 209]"
212,Sports Trading Cards & Accessories,"[64482, 212]"
219,Other Non-Sport Trading Card Merchandise,"[1, 182982, 219]"
220,Toys & Hobbies,[220]
222,Diecast & Toy Vehicles,"[220, 222]"
229,Friction Toys (Pre-1970),"[220, 19071, 19073, 229]"
230,Other Stuffed Animals,"[220, 436, 230]"
232,Other Electronic & Interactive Toys,"[220, 19071, 1082, 232]"
233,Games,"[220, 233]"
234,Other Games,"[220, 233, 234]"
237,Dolls & Teddy Bears,[237]
238,"Dolls, Clothing & Accessories","[237, 238]"
246,Action Figures & Accessories,"[220, 246]"
253,US Coins,"[11116, 253]"
255,Other Stocks & Bonds,"[11116, 3444, 255]"
256,World Coins,"[11116, 256]"
257,Other World Coins,"[11116, 256, 257]"
258,Other World Stocks & Bonds,"[11116, 3444, 168689, 258]"
259,Other Exonumia,"[11116, 3452, 259]"
260,Stamps,[260]
261,United States Stamps,"[260, 261]"
262,Other US Stamps,"[260, 261, 262]"
263,Other British Colony & Territory Stamps,"[260, 65174, 263]"
264,Other Worldwide Stamps,"[260, 181420, 264]"
265,US Stamp Sheets,"[260, 261, 265]"
267,Books & Magazines,[267]
280,Magazines,"[267, 280]"
281,Jewelry & Watches,[281]
293,Consumer Electronics,[293]
296,Other Radio Communication Electronics,"[293, 1500, 296]"
299,Household & Cleaning Supplies,"[11700, 299]"
300,Other Household Supplies & Cleaning,"[11700, 299, 300]"
301,Other Pet Supplies,"[1281, 301]"
302,Other Office Supplies & Equipment,"[12576, 25298, 302]"
303,Other Hand Tools,"[11700, 631, 3244, 303]"
308,Other Musical Instruments,"[619, 308]"
309,VHS Tapes,"[11232, 309]"
310,Other Sporting Goods,"[888, 310]"
312,"Other Clothing, Shoes & Accessories","[11450, 260033, 312]"
316,Specialty Services,[316]
317,Other Specialty Services,"[316, 317]"
360,Art Prints,"[550, 360]"
361,Other Antique Scientific Instruments,"[20081, 20094, 163035, 361]"
365,Other Holiday & Seasonal Collectibles,"[1, 907, 365]"
366,Other Religion & Spirituality Collectibles,"[1, 1446, 366]"
369,Other Collectible Modern Bottles (1900-Now),"[1, 29797, 39491, 13911, 369]"
371,Other Collectible Lighting,"[1, 1404, 371]"
372,Other US Native American Collectibles (1935-Now),"[1, 3913, 713, 13749, 372]"
373,Other Asian Collectibles (1900-Now),"[1, 3913, 149362, 13736, 373]"
374,Other Fisher-Price Preschool Toys (1963-Now),"[220, 19169, 2524, 19173, 374]"
376,Other US Paper Money,"[11116, 3412, 376]"
381,LaserDisc Movies,"[11232, 381]"
383,Other Hunting Equipment,"[888, 7301, 383]"
384,Other Fishing Equipment & Supplies,"[888, 1492, 384]"
385,Other World Paper Money,"[11116, 3411, 385]"
387,Teddy Bear Clothing & Accessories,"[237, 262353, 387]"
388,Other Breyer Model Horses,"[1, 1335, 156265, 35998, 388]"
395,Other Police Collectibles,"[1, 259135, 928, 395]"
396,Other Firefighting & Rescue Collectibles,"[1, 259135, 4038, 396]"
402,Fraternal Organization Collectibles,"[1, 259135, 402]"
403,Other Fraternal Organization Collectibles,"[1, 259135, 402, 403]"
404,Other Boy Scout Collectibles,"[1, 259135, 402, 13885, 404]"
405,Other Girl Scout & Girl Guide Collectibles,"[1, 259135, 402, 13891, 405]"
412,Science & Medicine Collectibles (1930-Now),"[1, 412]"
413,Other Science & Medicine Collectibles (1930-Now),"[1, 412, 413]"
414,Other Collectible Vintage Scientific Equipment (1930-Now),"[1, 412, 14020, 414]"
415,"Other Rocks, Fossils & Minerals","[1, 3213, 415]"
416,Other Astronaut & Space Travel Collectibles,"[1, 259135, 13902, 416]"
417,Transportation Collectibles,"[1, 417]"
418,Other Automobilia,"[1, 417, 14024, 418]"
419,Other Aviation Collectibles,"[1, 417, 14049, 419]"
420,Other Bike Collectibles,"[1, 417, 35959, 420]"
421,Other Collectible License Plates,"[1, 417, 14024, 14030, 421]"
423,Other Boat & Ship Collectibles,"[1, 417, 14052, 423]"
426,Other World's Fair Collectibles,"[1, 259135, 165513, 13879, 4162, 426]"
427,Other Magic Collectibles,"[1, 10860, 14012, 427]"
428,Golf Fan Apparel & Souvenirs,"[64482, 24409, 428]"
429,Horse Racing Fan Apparel & Souvenirs,"[64482, 24409, 429]"
