order_no,SITE_ID,SITE,L1,L2,L3,L4,L5,L6,Cat ID,Level,Parent / Leaf,Breadcrumb,Category Friendly Name,Sheet_Label
1,0,US,Antiques,,,,,,20081,1,Parent,Antiques,Antiques,Term Based BN?
329,0,US,Art,,,,,,550,1,Parent,Art,Art,Term Based BN?
340,0,US,Baby,,,,,,2984,1,Parent,Baby,Baby Essentials,Term Based BN?
514,0,US,Books & Magazines,,,,,,267,1,Parent,Books & Magazines,Books & Magazines,Term Based BN?
532,0,US,Business & Industrial,,,,,,12576,1,Parent,Business & Industrial,Business & Industrial,Term Based BN?
3697,0,US,Cameras & Photo,,,,,,625,1,Parent,Cameras & Photo,Cameras & Photo,Term Based BN?
3863,0,US,Cell Phones & Accessories,,,,,,15032,1,Parent,Cell Phones & Accessories,"Cell Phones, Smart Watches & Accessories",Term Based BN?
3904,0,US,"Clothing, Shoes & Accessories",,,,,,11450,1,Parent,"Clothing, Shoes & Accessories","Clothing, Shoes & Accessories",Term Based BN?
4421,0,US,Coins & Paper Money,,,,,,11116,1,Parent,Coins & Paper Money,Coins & Paper Money,Term Based BN?
4970,0,US,Collectibles,,,,,,1,1,Parent,Collectibles,Collectibles,Term Based BN?
8459,0,US,Computers/Tablets & Networking,,,,,,58058,1,Parent,Computers/Tablets & Networking,"Computers, Tablets & Network Hardware",Term Based BN?
8732,0,US,Consumer Electronics,,,,,,293,1,Parent,Consumer Electronics,Consumer Electronics,Term Based BN?
9034,0,US,Crafts,,,,,,14339,1,Parent,Crafts,Art & Craft Supplies,Term Based BN?
9711,0,US,Dolls & Bears,,,,,,237,1,Parent,Dolls & Bears,Dolls & Teddy Bears,Term Based BN?
9752,0,US,Entertainment Memorabilia,,,,,,45100,1,Parent,Entertainment Memorabilia,Entertainment Memorabilia,Term Based BN?
16766,0,US,Everything Else,,,,,,99,1,Parent,Everything Else,Everything Else,Term Based BN?
10710,0,US,Gift Cards & Coupons,,,,,,172008,1,Parent,Gift Cards & Coupons,Gift Cards & Coupons,Term Based BN?
10716,0,US,Health & Beauty,,,,,,26395,1,Parent,Health & Beauty,Health & Beauty,Term Based BN?
11165,0,US,Home & Garden,,,,,,11700,1,Parent,Home & Garden,Home & Garden,Term Based BN?
12950,0,US,Jewelry & Watches,,,,,,281,1,Parent,Jewelry & Watches,Jewelry & Watches,Term Based BN?
9743,0,US,Movies & TV,,,,,,11232,1,Parent,Movies & TV,Movies & TV,Term Based BN?
13069,0,US,Music,,,,,,11233,1,Parent,Music,Music,Term Based BN?
13076,0,US,Musical Instruments & Gear,,,,,,619,1,Parent,Musical Instruments & Gear,Musical Instruments & Gear,Term Based BN?
13494,0,US,Pet Supplies,,,,,,1281,1,Parent,Pet Supplies,Pet Supplies,Term Based BN?
13640,0,US,Pottery & Glass,,,,,,870,1,Parent,Pottery & Glass,Pottery & Glass,Term Based BN?
13695,0,US,Real Estate,,,,,,10542,1,Parent,Real Estate,Real Estate,Term Based BN?
13702,0,US,Specialty Services,,,,,,316,1,Parent,Specialty Services,Specialty Services,Term Based BN?
13776,0,US,Sporting Goods,,,,,,888,1,Parent,Sporting Goods,Sporting Goods,Term Based BN?
15346,0,US,"Sports Mem, Cards & Fan Shop",,,,,,64482,1,Parent,"Sports Mem, Cards & Fan Shop","Sports Memorabilia, Fan Shop & Sports Cards",Term Based BN?
15564,0,US,Stamps,,,,,,260,1,Parent,Stamps,Stamps,Term Based BN?
16028,0,US,Tickets & Experiences,,,,,,1305,1,Parent,Tickets & Experiences,Tickets & Experiences,Term Based BN?
16036,0,US,Toys & Hobbies,,,,,,220,1,Parent,Toys & Hobbies,Toys & Hobbies,Term Based BN?
16705,0,US,Travel,,,,,,3252,1,Parent,Travel,Travel,Term Based BN?
16737,0,US,Video Games & Consoles,,,,,,1249,1,Parent,Video Games & Consoles,Video Games & Consoles,Term Based BN?
2,0,US,Antiques,Architectural & Garden,,,,,4707,2,Parent,Antiques > Architectural & Garden,Architectural & Garden Antiques,Term Based BN?
39,0,US,Antiques,Asian Antiques,,,,,20082,2,Parent,Antiques > Asian Antiques,Asian Antiques,Term Based BN?
113,0,US,Antiques,Ethnographic,,,,,2207,2,Parent,Antiques > Ethnographic,Ethnographic Antiques,Term Based BN?
124,0,US,Antiques,Furniture,,,,,20091,2,Parent,Antiques > Furniture,Antique Furniture,Term Based BN?
152,0,US,Antiques,"Maps, Atlases & Globes",,,,,37958,2,Parent,"Antiques > Maps, Atlases & Globes","Antique Maps, Atlases & Globes",Term Based BN?
167,0,US,Antiques,Maritime,,,,,37965,2,Parent,Antiques > Maritime,Maritime Antiques,Term Based BN?
196,0,US,Antiques,"Mercantile, Trades & Factories",,,,,163091,2,Parent,"Antiques > Mercantile, Trades & Factories","Mercantile, Trade & Factory Antiques",Term Based BN?
