order_no,SITE_ID,SITE,L1,L2,L3,L4,L5,L6,Cat ID,Level,Parent / Leaf,Breadcrumb,Category Friendly Name,BN Title,CFN / BNT Misaligned?,Sheet_Label,Term Based BN?
1,100,US Motors,eBay Motors,,,,,,6000,1,Parent,eBay Motors,eBay Motors, ,  ,Term Based BN?,  
2,100,US Motors,eBay Motors,Cars & Trucks,,,,,6001,2,Parent,eBay Motors > Cars & Trucks,Cars & Trucks, ,  ,Term Based BN?,  
3,100,US Motors,eBay Motors,Cars & Trucks,Acura,,,,5330,3,Parent,eBay Motors > Cars & Trucks > Acura,Acura Cars & Trucks, ,  ,Term Based BN?,  
4,100,US Motors,eBay Motors,Cars & Trucks,Acura,CL,,,5332,4,Leaf,eBay Motors > Cars & Trucks > Acura > CL,Acura CL, ,  ,Term Based BN?,  
5,100,US Motors,eBay Motors,Cars & Trucks,Acura,ILX,,,177667,4,Leaf,eBay Motors > Cars & Trucks > Acura > ILX,Acura ILX, ,  ,Term Based BN?,  
6,100,US Motors,eBay Motors,Cars & Trucks,Acura,Integra,,,5335,4,Leaf,eBay Motors > Cars & Trucks > Acura > Integra,Acura Integra, ,  ,Term Based BN?,  
7,100,US Motors,eBay Motors,Cars & Trucks,Acura,Legend,,,5336,4,Leaf,eBay Motors > Cars & Trucks > Acura > Legend,Acura Legend, ,  ,Term Based BN?,  
8,100,US Motors,eBay Motors,Cars & Trucks,Acura,MDX,,,42600,4,Leaf,eBay Motors > Cars & Trucks > Acura > MDX,Acura MDX, ,  ,Term Based BN?,  
9,100,US Motors,eBay Motors,Cars & Trucks,Acura,NSX,,,5337,4,Leaf,eBay Motors > Cars & Trucks > Acura > NSX,Acura NSX, ,  ,Term Based BN?,  
10,100,US Motors,eBay Motors,Cars & Trucks,Acura,RDX,,,157037,4,Leaf,eBay Motors > Cars & Trucks > Acura > RDX,Acura RDX, ,  ,Term Based BN?,  
11,100,US Motors,eBay Motors,Cars & Trucks,Acura,RL,,,5334,4,Leaf,eBay Motors > Cars & Trucks > Acura > RL,Acura RL, ,  ,Term Based BN?,  
12,100,US Motors,eBay Motors,Cars & Trucks,Acura,RLX,,,184384,4,Leaf,eBay Motors > Cars & Trucks > Acura > RLX,Acura RLX, ,  ,Term Based BN?,  
13,100,US Motors,eBay Motors,Cars & Trucks,Acura,RSX,,,31827,4,Leaf,eBay Motors > Cars & Trucks > Acura > RSX,Acura RSX, ,  ,Term Based BN?,  
14,100,US Motors,eBay Motors,Cars & Trucks,Acura,SLX,,,5331,4,Leaf,eBay Motors > Cars & Trucks > Acura > SLX,Acura SLX, ,  ,Term Based BN?,  
15,100,US Motors,eBay Motors,Cars & Trucks,Acura,TL,,,5333,4,Leaf,eBay Motors > Cars & Trucks > Acura > TL,Acura TL, ,  ,Term Based BN?,  
16,100,US Motors,eBay Motors,Cars & Trucks,Acura,TLX,,,180241,4,Leaf,eBay Motors > Cars & Trucks > Acura > TLX,Acura TLX, ,  ,Term Based BN?,  
17,100,US Motors,eBay Motors,Cars & Trucks,Acura,TSX,,,84153,4,Leaf,eBay Motors > Cars & Trucks > Acura > TSX,Acura TSX, ,  ,Term Based BN?,  
18,100,US Motors,eBay Motors,Cars & Trucks,Acura,Vigor,,,5338,4,Leaf,eBay Motors > Cars & Trucks > Acura > Vigor,Acura Vigor, ,  ,Term Based BN?,  
19,100,US Motors,eBay Motors,Cars & Trucks,Acura,ZDX,,,171085,4,Leaf,eBay Motors > Cars & Trucks > Acura > ZDX,Acura ZDX, ,  ,Term Based BN?,  
20,100,US Motors,eBay Motors,Cars & Trucks,Acura,Other,,,5339,4,Leaf,eBay Motors > Cars & Trucks > Acura > Other,Other Acura Cars & Trucks, ,  ,Term Based BN?,  
21,100,US Motors,eBay Motors,Cars & Trucks,Alfa Romeo,,,,5340,3,Parent,eBay Motors > Cars & Trucks > Alfa Romeo,Alfa Romeo Cars & Trucks, ,  ,Term Based BN?,  
22,100,US Motors,eBay Motors,Cars & Trucks,Alfa Romeo,164,,,175851,4,Leaf,eBay Motors > Cars & Trucks > Alfa Romeo > 164,Alfa Romeo 164, ,  ,Term Based BN?,  
23,100,US Motors,eBay Motors,Cars & Trucks,Alfa Romeo,4C,,,183556,4,Leaf,eBay Motors > Cars & Trucks > Alfa Romeo > 4C,Alfa Romeo 4C, ,  ,Term Based BN?,  
24,100,US Motors,eBay Motors,Cars & Trucks,Alfa Romeo,8C,,,175852,4,Leaf,eBay Motors > Cars & Trucks > Alfa Romeo > 8C,Alfa Romeo 8C, ,  ,Term Based BN?,  
25,100,US Motors,eBay Motors,Cars & Trucks,Alfa Romeo,Giulia,,,184385,4,Leaf,eBay Motors > Cars & Trucks > Alfa Romeo > Giulia,Alfa Romeo Giulia, ,  ,Term Based BN?,  
26,100,US Motors,eBay Motors,Cars & Trucks,Alfa Romeo,GTV,,,179854,4,Leaf,eBay Motors > Cars & Trucks > Alfa Romeo > GTV,Alfa Romeo GTV, ,  ,Term Based BN?,  
27,100,US Motors,eBay Motors,Cars & Trucks,Alfa Romeo,Milano,,,179855,4,Leaf,eBay Motors > Cars & Trucks > Alfa Romeo > Milano,Alfa Romeo Milano, ,  ,Term Based BN?,  
28,100,US Motors,eBay Motors,Cars & Trucks,Alfa Romeo,Montreal,,,179856,4,Leaf,eBay Motors > Cars & Trucks > Alfa Romeo > Montreal,Alfa Romeo Montreal, ,  ,Term Based BN?,  
29,100,US Motors,eBay Motors,Cars & Trucks,Alfa Romeo,Spider,,,84154,4,Leaf,eBay Motors > Cars & Trucks > Alfa Romeo > Spider,Alfa Romeo Spider, ,  ,Term Based BN?,  
30,100,US Motors,eBay Motors,Cars & Trucks,Alfa Romeo,Other,,,5356,4,Leaf,eBay Motors > Cars & Trucks > Alfa Romeo > Other,Other Alfa Romeo Cars & Trucks, ,  ,Term Based BN?,  
31,100,US Motors,eBay Motors,Cars & Trucks,AMC,,,,180046,3,Parent,eBay Motors > Cars & Trucks > AMC,AMC Cars & Trucks, ,  ,Term Based BN?,  
32,100,US Motors,eBay Motors,Cars & Trucks,AMC,AMX,,,180047,4,Leaf,eBay Motors > Cars & Trucks > AMC > AMX,AMC AMX, ,  ,Term Based BN?,  
33,100,US Motors,eBay Motors,Cars & Trucks,AMC,Gremlin,,,180048,4,Leaf,eBay Motors > Cars & Trucks > AMC > Gremlin,AMC Gremlin, ,  ,Term Based BN?,  
34,100,US Motors,eBay Motors,Cars & Trucks,AMC,Hornet,,,180049,4,Leaf,eBay Motors > Cars & Trucks > AMC > Hornet,AMC Hornet, ,  ,Term Based BN?,  
35,100,US Motors,eBay Motors,Cars & Trucks,AMC,Javelin,,,180050,4,Leaf,eBay Motors > Cars & Trucks > AMC > Javelin,AMC Javelin, ,  ,Term Based BN?,  
36,100,US Motors,eBay Motors,Cars & Trucks,AMC,Pacer,,,179866,4,Leaf,eBay Motors > Cars & Trucks > AMC > Pacer,AMC Pacer, ,  ,Term Based BN?,  
37,100,US Motors,eBay Motors,Cars & Trucks,AMC,Other,,,180051,4,Leaf,eBay Motors > Cars & Trucks > AMC > Other,Other AMC Cars & Trucks, ,  ,Term Based BN?,  
38,100,US Motors,eBay Motors,Cars & Trucks,Ariel,,,,171997,3,Leaf,eBay Motors > Cars & Trucks > Ariel,Ariel Cars & Trucks, ,  ,Term Based BN?,  
39,100,US Motors,eBay Motors,Cars & Trucks,Aston Martin,,,,157054,3,Parent,eBay Motors > Cars & Trucks > Aston Martin,Aston Martin Cars & Trucks, ,  ,Term Based BN?,  
40,100,US Motors,eBay Motors,Cars & Trucks,Aston Martin,DB7,,,157055,4,Leaf,eBay Motors > Cars & Trucks > Aston Martin > DB7,Aston Martin DB7, ,  ,Term Based BN?,  
41,100,US Motors,eBay Motors,Cars & Trucks,Aston Martin,DB9,,,157056,4,Leaf,eBay Motors > Cars & Trucks > Aston Martin > DB9,Aston Martin DB9, ,  ,Term Based BN?,  
42,100,US Motors,eBay Motors,Cars & Trucks,Aston Martin,DB11,,,184386,4,Leaf,eBay Motors > Cars & Trucks > Aston Martin > DB11,Aston Martin DB11, ,  ,Term Based BN?,  
43,100,US Motors,eBay Motors,Cars & Trucks,Aston Martin,DBS,,,162304,4,Leaf,eBay Motors > Cars & Trucks > Aston Martin > DBS,Aston Martin DBS, ,  ,Term Based BN?,  
44,100,US Motors,eBay Motors,Cars & Trucks,Aston Martin,Rapide,,,180523,4,Leaf,eBay Motors > Cars & Trucks > Aston Martin > Rapide,Aston Martin Rapide, ,  ,Term Based BN?,  
45,100,US Motors,eBay Motors,Cars & Trucks,Aston Martin,Vanquish,,,157058,4,Leaf,eBay Motors > Cars & Trucks > Aston Martin > Vanquish,Aston Martin Vanquish, ,  ,Term Based BN?,  
46,100,US Motors,eBay Motors,Cars & Trucks,Aston Martin,Vantage,,,157057,4,Leaf,eBay Motors > Cars & Trucks > Aston Martin > Vantage,Aston Martin Vantage, ,  ,Term Based BN?,  
47,100,US Motors,eBay Motors,Cars & Trucks,Aston Martin,Other,,,5358,4,Leaf,eBay Motors > Cars & Trucks > Aston Martin > Other,Other Aston Martin Cars & Trucks, ,  ,Term Based BN?,  
48,100,US Motors,eBay Motors,Cars & Trucks,Audi,,,,6002,3,Parent,eBay Motors > Cars & Trucks > Audi,Audi Cars & Trucks, ,  ,Term Based BN?,  
49,100,US Motors,eBay Motors,Cars & Trucks,Audi,80,,,175853,4,Leaf,eBay Motors > Cars & Trucks > Audi > 80,Audi 80, ,  ,Term Based BN?,  
50,100,US Motors,eBay Motors,Cars & Trucks,Audi,90,,,157039,4,Leaf,eBay Motors > Cars & Trucks > Audi > 90,Audi 90, ,  ,Term Based BN?,  
51,100,US Motors,eBay Motors,Cars & Trucks,Audi,100,,,157038,4,Leaf,eBay Motors > Cars & Trucks > Audi > 100,Audi 100, ,  ,Term Based BN?,  
52,100,US Motors,eBay Motors,Cars & Trucks,Audi,A3,,,147117,4,Leaf,eBay Motors > Cars & Trucks > Audi > A3,Audi A3, ,  ,Term Based BN?,  
53,100,US Motors,eBay Motors,Cars & Trucks,Audi,A4,,,6003,4,Leaf,eBay Motors > Cars & Trucks > Audi > A4,Audi A4, ,  ,Term Based BN?,  
54,100,US Motors,eBay Motors,Cars & Trucks,Audi,A5,,,166867,4,Leaf,eBay Motors > Cars & Trucks > Audi > A5,Audi A5, ,  ,Term Based BN?,  
55,100,US Motors,eBay Motors,Cars & Trucks,Audi,A6,,,6004,4,Leaf,eBay Motors > Cars & Trucks > Audi > A6,Audi A6, ,  ,Term Based BN?,  
56,100,US Motors,eBay Motors,Cars & Trucks,Audi,A7,,,173649,4,Leaf,eBay Motors > Cars & Trucks > Audi > A7,Audi A7, ,  ,Term Based BN?,  
