query_label,positive_label,negatives_label
Pet Supplies,Live Animals,"['Music Lyres & Flip Folders', 'Dinnerware Sets', 'Hospital Curtains', 'Goblet Drums', 'Electric Skillets & Woks', 'Hedge Trimmer Attachments', 'Foam Roller Accessories', 'Bookcases & Standing Shelves', 'Measuring Scale Accessories']"
Live Animals,Pet Supplies,"['Garbage Disposals', 'Food Grinders & Mills', 'Door Knobs & Handles', 'Centrifuges', 'Cutting Mats', 'Touch Table Computers', 'Canned Seafood', 'Geiger Counters', 'Solvents, Strippers & Thinners']"
Clothing Accessories,Clothing,"['Candle & Oil Warmers', 'Food & Drink Stencils', 'Tongs', 'Field Hockey Sticks', 'Electrical Motors', 'Quivers', 'Hot Drink Makers', 'Tobacco Products', 'Hair Clippers & Trimmers']"
Clothing,Shoes,"['Battery Charge Controllers', 'Reptile & Amphibian Food', 'Carrots', 'Pet Strollers', 'Remote Control Toys', 'Pole Vault Pits', 'Bicycle Toe Straps & Clips', 'Optical Drives', 'General Purpose Battery Chargers']"
Clothing Accessories,Costumes & Accessories,"['Shoe Polishers', 'Electric Skillets & Woks', 'Food & Beverage Carriers', 'Tennis Fan Accessories', 'Throwing Darts', 'Cheese Dips & Spreads', 'Cars, Trucks & Vans', 'General Purpose Battery Testers', 'Fireplace Tools']"
Handbag & Wallet Accessories,Costumes & Accessories,"['Guitar Tuning Pegs', 'Curling Irons', 'Baby Transport', 'Magnetic Sweepers', 'Lawn Mower Mulch Kits', 'Water Ski Cases & Bags', 'Watercraft Engine Controls', 'Surfboard Cases & Bags', 'Sandblasting Cabinets']"
Handbag & Wallet Accessories,"Handbags, Wallets & Cases","['Sapodillo', 'Cymbals', 'Aircraft Parts & Accessories', 'Skin Care Rollers', 'Retail & Sale Signs', 'Collectible Guns', 'Vanity Benches', 'Multimeter Accessories', 'Baby Monitors']"
Jewelry,"Handbags, Wallets & Cases","['Bulletin Boards', 'Non-prescription Dog Food', 'Cross-Country Skis', 'Sushi Mats', 'Paintball Grenades', 'Bicycle Child Seats', 'Bakery', 'Rivets', 'Acupuncture']"
Jewelry,Shoe Accessories,"['Nail Drills', 'Laser Levels', 'Musical Keyboard Stands', 'Printer Memory', 'Picture Frames', 'Slipcovers', 'Floral Tape', 'Book Stands & Rests', 'Hockey Pants']"
Shoes,Shoe Accessories,"['Cable Tie Guns', 'Fish Supplies', 'American Football Fan Accessories', 'Horse Grooming Combs, Brushes & Mitts', 'Address Books', 'Freezer Accessories', 'Bicycle Foot Pegs', 'Sink Caddies', 'Wallpaper']"
Event Tickets,Hobbies & Creative Arts,"['Home Game Console Accessories', 'Shoe Dryers', 'Medicine & Drugs', 'Costumes', 'Retail & Sale Signs', 'Electric Knife Accessories', 'Waste Container Lids', 'Pet Muzzles', 'Cash Drawers & Trays']"
Event Tickets,Party & Celebration,"['Candle & Oil Warmers', 'Shoe Horns & Dressing Aids', 'Garden Hose Spray Nozzles', 'Soldering Iron Stands', 'Air Hockey Tables', 'Medical Furniture', 'Stains', 'Deck Shuffleboard Pucks', 'Water Skiing']"
Party & Celebration,Hobbies & Creative Arts,"['Motor Vehicle Parts', 'Recurve & Longbows', 'Oil Filter Drains', 'Spinach', 'Light Switches', 'Bowling Balls', 'Hiking Poles', 'Bicycle Groupsets', 'Volleyball Nets']"
Baby Bathing,Baby Gift Sets,"['Kitchen Organizers', 'Gift Bags', 'Inline Skate Parts', 'Electronics Manuals', 'Bowling Toys', 'Oboe Care Kits', 'Bed Pans', 'Vehicle Storage Covers', 'Outdoor Power Equipment']"
Swaddling & Receiving Blankets,Baby Bathing,"['Nutrition Drinks & Shakes', 'Gin', 'Lint Rollers', 'Color Calibrators', 'Printheads', 'Paintball Gun Parts & Accessories', 'Drawer & Shelf Liners', 'Electrical Testing Tools', 'Field Hockey & Lacrosse']"
Baby Gift Sets,Baby Health,"['Multi-Game Tables', 'Wall Patching Compounds & Plaster', 'MMA Shin Guards', 'Manual Massage Tools', 'Crayons', 'Faucet Aerators', 'Greenhouses', 'Scrub Brush Heads & Refills', 'Ironing Board Replacement Parts']"
