query_label	positive_label	negatives_label
Pet Supplies	Live Animals	['Mayonnaise', 'Tool Files', 'Toy Abacuses', 'Clay Pigeons', 'Headsets', 'Model Rocketry', 'Kitesurfing Kites', 'Microscope Cameras', 'Wireless Presenters', 'Gym Mats']
Live Animals	Pet Supplies	['Leaf Blower Accessories', 'Bicycle Skinsuits', 'Tablet Computer Housings & Trim', 'Paperweights', 'Soda Maker Accessories', 'Nail Files & Emery Boards', 'Crash Carts', 'Office & Chair Mats', 'Tent Footprints', 'Climbing Crash Pads']
Live Animals	Pet Supplies	['Construction Calculators', 'Deodorant & Anti-Perspirant', 'Bicycle Transport Bags & Cases', 'Hobby Horses', 'Retail', 'Eyelash Curler Refills', 'Medical Cabinets', 'Chain Connectors & Links', 'Bakeware Accessories', 'Tagines & Clay Cooking Pots']
Live Animals	Pet Supplies	['Electronic Drums', 'Skate Lace Tighteners', 'Clarinet Care & Cleaning', 'Bicycle Pumps', 'Whitewater Rafts', 'Airsoft Pellets', 'Free Weight Storage Racks', 'Paper Coin Wrappers & Bill Straps', 'CD/DVD Duplicators', 'Flash Reflectors']
Clothing Accessories	Clothing	['Baking Mats & Liners', 'Field Hockey Balls', 'Shower Rods', 'Bananas', 'Concession Food Containers', 'Fly Tying Materials', 'Pomegranates', 'Ribbon & Streamer Toys', 'Riding Scooters', 'Baby Monitors']
Costumes & Accessories	Clothing	['Ice Skates', 'Measuring Scales', 'Hydration Systems', 'Copystands', 'Cat Furniture', 'Video Accessories', 'Pull Buoys', 'Paintball Gun Parts & Accessories', 'Team Handball', 'Home Fragrance Accessories']
Clothing	Shoe Accessories	['Lawn Mower Covers', 'TV Replacement Lamps', 'Diapers', 'Wire & Cable Identification Markers', 'Wax Tarts', 'Diving Regulators', 'Air & Filter Dryers', 'Camping Lights & Lanterns', 'Portafilters', 'Bicycle Tire Valve Adapters']
Shoes	Clothing	['Wrapping Paper', 'Pet Nail Tools', 'Hair Dryers', 'Linesman Flags', 'Hoists, Cranes & Trolleys', 'Erotic Games', 'Wheatgrass', 'Abrasive Blasters', 'Vehicle Steering Wheel Locks', 'Car Window Nets']
Clothing Accessories	Costumes & Accessories	['Platform & Paddle Tennis', 'Toothpick Holders & Dispensers', 'Dexterity Games', 'Pool Water Slides', 'Ironing Board Pads & Covers', 'Captains Armbands', 'Sports Toys', 'Cricket Equipment Sets', 'Baby Bottle Nipples & Liners', 'Watercraft Ignition Parts']
Clothing Accessories	Handbag & Wallet Accessories	['Banknote Verifiers', 'Vehicle Air Fresheners', 'American Football Neck Rolls', 'Furnaces & Boilers', 'AV Carts', 'Highlighter Refills', 'Weaving Beaters', 'Cable TV Receivers', 'Hooks, Buckles & Fasteners', 'Outdoor Umbrella & Sunshade Accessories']
Shoes	Clothing Accessories	['Marine Radios', 'Exercise & Fitness Equipment Manuals', 'American Footballs', 'Swim Gloves', 'Ski & Snowboard Helmets', 'Stilts', 'Grinding Wheels & Points', 'Flutes', 'Saxophone Straps & Supports', 'Roller Skis']
Handbag & Wallet Accessories	Costumes & Accessories	['Satellite LNBs', 'Lawn Mower Covers', 'Holiday Ornament Displays & Stands', 'Saddle Pads & Blankets', 'Packing Materials', 'Marker Refills', 'Antivirus & Security Software', 'Highlighter Refills', 'Paintball', 'Serving Platters']
Handbags, Wallets & Cases	Costumes & Accessories	['Food Mixer & Blender Accessories', 'Kitchen Molds', 'Flags & Windsocks', 'Decorative Tape', 'Twist Ties & Bag Clips', 'Whips', 'Ottoman Cushions', 'Snorkels', 'Paintball Harnesses & Packs', 'Car Window Nets']
Handbags, Wallets & Cases	Handbag & Wallet Accessories	['Pipe & Bar Benders', 'Water Filter Housings', 'Conductor Batons', 'Chandeliers', 'Textiles', 'Roofing Shingles & Tiles', 'Gift Tags & Labels', 'Rambutans', 'Speaker Components & Kits', 'Lip Liner']
Handbag & Wallet Accessories	Jewelry	['Homely Fruits', 'Computer Accessory Sets', 'Dental Tools', 'Bunion Care Supplies', 'Training Fins', 'Fireworks & Firecrackers', 'Play Vehicle Accessories', 'Blade Server Enclosures', 'Writing Pencils', 'Hockey Goals']
Handbags, Wallets & Cases	Jewelry	['Basketball Training Aids', 'Dental Tools', 'Gun Cleaning Solvents', 'Books', 'Beer Glasses', 'Lighting', 'Drinking Games', 'Power Tool & Equipment Manuals', 'Drum Pedals', 'Plumbing Flanges']
