Subclass,Superclass,labels
Alte Berufe,Antiquitäten & Kunst,1
Ansichten & Landkarten,Antiquitäten & Kunst,1
Antik- & Vintage-Schmuck,Antiquitäten & Kunst,1
Antike,Antiquitäten & Kunst,1
Antikspielzeug,Antiquitäten & Kunst,1
Antiquarische Bücher,Antiquitäten & Kunst,1
Handschriften-Manuskripte,Antiquitäten & Kunst,1
Historische Baustoffe,Antiquitäten & Kunst,1
Holz- & Beinarbeiten,Antiquitäten & Kunst,1
Internationale Antiq. & Kunst,Antiquitäten & Kunst,1
Jagd & Fischen,Antiquitäten & Kunst,1
Kleidung & Access. vor 1900,Antiquitäten & Kunst,1
Landkarten,Antiquitäten & Kunst,1
Metallobjekte,Antiquitäten & Kunst,1
Mobiliar & Interieur,Antiquitäten & Kunst,1
Musikinstrumente,Antiquitäten & Kunst,1
Nautika & Maritimes,Antiquitäten & Kunst,1
Periodika & Kataloge,Antiquitäten & Kunst,1
Plakate,Antiquitäten & Kunst,1
"Porzellan, Keramik & Glas",Antiquitäten & Kunst,1
Restaurierungsbedarf,Antiquitäten & Kunst,1
Silber,Antiquitäten & Kunst,1
Technik & Photographica,Antiquitäten & Kunst,1
Teppiche & Flachgewebe,Antiquitäten & Kunst,1
Volkskunst,Antiquitäten & Kunst,1
Wandbehänge,Antiquitäten & Kunst,1
Arzt & Apotheker,Antiquitäten & Kunst,1
Bauer,Antiquitäten & Kunst,1
Bergbau,Antiquitäten & Kunst,1
Brauer & Mälzer,Antiquitäten & Kunst,1
Buchdrucker & Buchbinder,Antiquitäten & Kunst,1
Feuerwehrmann,Antiquitäten & Kunst,1
Fischer,Antiquitäten & Kunst,1
Frisör & Barbier,Antiquitäten & Kunst,1
Gärtner,Antiquitäten & Kunst,1
Gastwirt,Antiquitäten & Kunst,1
Goldschmied,Antiquitäten & Kunst,1
Hutmacher,Antiquitäten & Kunst,1
Imker,Antiquitäten & Kunst,1
Jäger & Waidmann,Antiquitäten & Kunst,1
Kaufleute & Krämer,Antiquitäten & Kunst,1
Korbmacher,Antiquitäten & Kunst,1
Lokführer & Schaffner,Antiquitäten & Kunst,1
Maler,Antiquitäten & Kunst,1
Maurer,Antiquitäten & Kunst,1
Metzger & Fleischer,Antiquitäten & Kunst,1
Optiker,Antiquitäten & Kunst,1
Sattler,Antiquitäten & Kunst,1
Schlosser,Antiquitäten & Kunst,1
Schmied,Antiquitäten & Kunst,1
Schneider,Antiquitäten & Kunst,1
Schornsteinfeger & Kaminkehrer,Antiquitäten & Kunst,1
Schuster,Antiquitäten & Kunst,1
Sonstige,Antiquitäten & Kunst,1
Spinner,Antiquitäten & Kunst,1
Stellmacher,Antiquitäten & Kunst,1
Uhrmacher,Antiquitäten & Kunst,1
Weber,Antiquitäten & Kunst,1
Zimmermann,Antiquitäten & Kunst,1
Afrika,Antiquitäten & Kunst,1
Amerika,Antiquitäten & Kunst,1
Australien,Antiquitäten & Kunst,1
Deutschland,Antiquitäten & Kunst,1
Ehemalige deutsche Gebiete,Antiquitäten & Kunst,1
Europa,Antiquitäten & Kunst,1
Österreich,Antiquitäten & Kunst,1
Schweiz,Antiquitäten & Kunst,1
Sonstige,Antiquitäten & Kunst,1
Schmuck & Accessoires,Antiquitäten & Kunst,1
Originale,Antiquitäten & Kunst,1
Replikate,Antiquitäten & Kunst,1
Baukästen,Antiquitäten & Kunst,1
Blechspielzeug,Antiquitäten & Kunst,1
Dampfspielzeug,Antiquitäten & Kunst,1
Eisenbahn,Antiquitäten & Kunst,1
Gesellschaftsspiele,Antiquitäten & Kunst,1
Holzspielzeug,Antiquitäten & Kunst,1
Masse- & Kunststofffiguren,Antiquitäten & Kunst,1
Modellbau,Antiquitäten & Kunst,1
Murmeln,Antiquitäten & Kunst,1
Optisches Spielzeug,Antiquitäten & Kunst,1
Schaukelpferde,Antiquitäten & Kunst,1
Sonstige,Antiquitäten & Kunst,1
Spielzeug-Literatur,Antiquitäten & Kunst,1
Bauelemente,Antiquitäten & Kunst,1
Garten- & Parkeinrichtung,Antiquitäten & Kunst,1
Holzarbeiten,Antiquitäten & Kunst,1
Ägypten,Antiquitäten & Kunst,1
Asiatika: China,Antiquitäten & Kunst,1
Asiatika: Indien & Himalaya,Antiquitäten & Kunst,1
Asiatika: Japan,Antiquitäten & Kunst,1
Asiatika: Sonstige,Antiquitäten & Kunst,1
Australien & Südsee,Antiquitäten & Kunst,1
Islamische Kunst,Antiquitäten & Kunst,1
Mittel- & Südamerika,Antiquitäten & Kunst,1
Nordamerika,Antiquitäten & Kunst,1
Objekte ab 1945,Antiquitäten & Kunst,1
Objekte vor 1945,Antiquitäten & Kunst,1
Kleidung,Antiquitäten & Kunst,1
Sonstige,Antiquitäten & Kunst,1
Collagen & Mixed Media Kunst,Antiquitäten & Kunst,1
Fotokunst,Antiquitäten & Kunst,1
Kunstdrucke,Antiquitäten & Kunst,1
Kunstplakate,Antiquitäten & Kunst,1
Kunstskulpturen,Antiquitäten & Kunst,1
Malerei,Antiquitäten & Kunst,1
NFT-Kunst,Antiquitäten & Kunst,1
Sonstige,Antiquitäten & Kunst,1
Textilkunst & Faserkunst,Antiquitäten & Kunst,1
1860-1944,Antiquitäten & Kunst,1
Ab 1945,Antiquitäten & Kunst,1
Vor 1860,Antiquitäten & Kunst,1
Bronze,Antiquitäten & Kunst,1
Eisen,Antiquitäten & Kunst,1
Emailwaren,Antiquitäten & Kunst,1
Kupfer,Antiquitäten & Kunst,1
Sonstige,Antiquitäten & Kunst,1
Zinn,Antiquitäten & Kunst,1
Anrichten & Buffets,Antiquitäten & Kunst,1
Bergungsstücke & -teile,Antiquitäten & Kunst,1
Betten,Antiquitäten & Kunst,1
Garderobenständer,Antiquitäten & Kunst,1
Kleiderschränke,Antiquitäten & Kunst,1
Koffer,Antiquitäten & Kunst,1
Kommoden,Antiquitäten & Kunst,1
Komplette Schlafzimmer,Antiquitäten & Kunst,1
Nachttische & Nachtkonsolen,Antiquitäten & Kunst,1
Ottomane & Fußhocker,Antiquitäten & Kunst,1
Paravents,Antiquitäten & Kunst,1
Preisführer & Publikationen,Antiquitäten & Kunst,1
Regale,Antiquitäten & Kunst,1
Schmink- & Frisiertische,Antiquitäten & Kunst,1
Schränke & Wandschränke,Antiquitäten & Kunst,1
Schreibmöbel & Sekretäre,Antiquitäten & Kunst,1
"Sitzbänke, Hocker & Barhocker",Antiquitäten & Kunst,1
Sonstige,Antiquitäten & Kunst,1
Spiegel,Antiquitäten & Kunst,1
Stühle,Antiquitäten & Kunst,1
Tisch- & Stuhl-Sets,Antiquitäten & Kunst,1
Truhen & Kisten,Antiquitäten & Kunst,1
Vitrinenobjekte / Objets d'art,Antiquitäten & Kunst,1
Blasinstrumente,Antiquitäten & Kunst,1
Mechanische Musik,Antiquitäten & Kunst,1
Schlaginstrumente,Antiquitäten & Kunst,1
Sonstige,Antiquitäten & Kunst,1
Streich- & Zupfinstrumente,Antiquitäten & Kunst,1
Tasteninstrumente,Antiquitäten & Kunst,1
Antike Originale,Antiquitäten & Kunst,1
Kunst,Antiquitäten & Kunst,1
Maritime Dekoration,Antiquitäten & Kunst,1
Sonstige,Antiquitäten & Kunst,1
Technik & Instrumente,Antiquitäten & Kunst,1
Kataloge,Antiquitäten & Kunst,1
Zeitschriften,Antiquitäten & Kunst,1
Zeitungen,Antiquitäten & Kunst,1
1925-1949,Antiquitäten & Kunst,1
1950-1975,Antiquitäten & Kunst,1
1976-1999,Antiquitäten & Kunst,1
Ab 2000,Antiquitäten & Kunst,1
Vor 1925,Antiquitäten & Kunst,1
Dekorative Ton- & Glasware,Antiquitäten & Kunst,1
Gläser & Barzubehör,Antiquitäten & Kunst,1
"Kochgeschirr, Essgeschirr & Servierware",Antiquitäten & Kunst,1
Lampen & Beleuchtung,Antiquitäten & Kunst,1
Sonstige,Antiquitäten & Kunst,1
Aufbewahrung & Ausstellung,Antiquitäten & Kunst,1
Beschläge,Antiquitäten & Kunst,1
Griffe & Klinken,Antiquitäten & Kunst,1
Holzwaren,Antiquitäten & Kunst,1
Reinigungs- & Poliermittel,Antiquitäten & Kunst,1
Schlösser,Antiquitäten & Kunst,1
Sonstige,Antiquitäten & Kunst,1
"Silber, 800er- 925er",Antiquitäten & Kunst,1
Silberauflage / Versilbertes,Antiquitäten & Kunst,1
Antike Bürotechnik,Antiquitäten & Kunst,1
Photographica,Antiquitäten & Kunst,1
Sonstige,Antiquitäten & Kunst,1
Wissenschaftliche Instrumente,Antiquitäten & Kunst,1
Erzgebirge,Antiquitäten & Kunst,1
Religiöse Volkskunst,Antiquitäten & Kunst,1
Volkskunst,Antiquitäten & Kunst,1
Automobile,Auto & Motorrad: Fahrzeuge,1
Golfwagen,Auto & Motorrad: Fahrzeuge,1
Motorräder,Auto & Motorrad: Fahrzeuge,1
Nutzfahrzeuge,Auto & Motorrad: Fahrzeuge,1
Pkw-Anhänger,Auto & Motorrad: Fahrzeuge,1
Wohnwagen & Wohnmobile,Auto & Motorrad: Fahrzeuge,1
Alfa Romeo,Auto & Motorrad: Fahrzeuge,1
Aston Martin,Auto & Motorrad: Fahrzeuge,1
Audi,Auto & Motorrad: Fahrzeuge,1
Bentley,Auto & Motorrad: Fahrzeuge,1
BMW,Auto & Motorrad: Fahrzeuge,1
Bugatti,Auto & Motorrad: Fahrzeuge,1
Cadillac,Auto & Motorrad: Fahrzeuge,1
Chevrolet,Auto & Motorrad: Fahrzeuge,1
Chrysler,Auto & Motorrad: Fahrzeuge,1
Citroën,Auto & Motorrad: Fahrzeuge,1
Dacia,Auto & Motorrad: Fahrzeuge,1
Daewoo,Auto & Motorrad: Fahrzeuge,1
Daihatsu,Auto & Motorrad: Fahrzeuge,1
Ferrari,Auto & Motorrad: Fahrzeuge,1
Fiat,Auto & Motorrad: Fahrzeuge,1
Ford,Auto & Motorrad: Fahrzeuge,1
Honda,Auto & Motorrad: Fahrzeuge,1
Hummer,Auto & Motorrad: Fahrzeuge,1
Hyundai,Auto & Motorrad: Fahrzeuge,1
Isuzu,Auto & Motorrad: Fahrzeuge,1
Jaguar,Auto & Motorrad: Fahrzeuge,1
Kia,Auto & Motorrad: Fahrzeuge,1
Lada,Auto & Motorrad: Fahrzeuge,1
Lamborghini,Auto & Motorrad: Fahrzeuge,1
Land Rover,Auto & Motorrad: Fahrzeuge,1
Lotus,Auto & Motorrad: Fahrzeuge,1
Maserati,Auto & Motorrad: Fahrzeuge,1
Mazda,Auto & Motorrad: Fahrzeuge,1
McLaren,Auto & Motorrad: Fahrzeuge,1
Mercedes-Benz,Auto & Motorrad: Fahrzeuge,1
Mini,Auto & Motorrad: Fahrzeuge,1
Mitsubishi,Auto & Motorrad: Fahrzeuge,1
Nissan,Auto & Motorrad: Fahrzeuge,1
Oldtimer,Auto & Motorrad: Fahrzeuge,1
Opel,Auto & Motorrad: Fahrzeuge,1
Perodua,Auto & Motorrad: Fahrzeuge,1
Peugeot,Auto & Motorrad: Fahrzeuge,1
Pontiac,Auto & Motorrad: Fahrzeuge,1
Porsche,Auto & Motorrad: Fahrzeuge,1
Proton,Auto & Motorrad: Fahrzeuge,1
Renault,Auto & Motorrad: Fahrzeuge,1
Rolls Royce,Auto & Motorrad: Fahrzeuge,1
Rover,Auto & Motorrad: Fahrzeuge,1
Saab,Auto & Motorrad: Fahrzeuge,1
Seat,Auto & Motorrad: Fahrzeuge,1
Skoda,Auto & Motorrad: Fahrzeuge,1
Smart,Auto & Motorrad: Fahrzeuge,1
Sonstige Marken,Auto & Motorrad: Fahrzeuge,1
Ssangyong,Auto & Motorrad: Fahrzeuge,1
Subaru,Auto & Motorrad: Fahrzeuge,1
Suzuki,Auto & Motorrad: Fahrzeuge,1
Tesla,Auto & Motorrad: Fahrzeuge,1
Toyota,Auto & Motorrad: Fahrzeuge,1
Trabant,Auto & Motorrad: Fahrzeuge,1
Unfall-/ Bastlerautos,Auto & Motorrad: Fahrzeuge,1
US-Cars,Auto & Motorrad: Fahrzeuge,1
Volkswagen,Auto & Motorrad: Fahrzeuge,1
Volvo,Auto & Motorrad: Fahrzeuge,1
Wartburg,Auto & Motorrad: Fahrzeuge,1
Aprilia,Auto & Motorrad: Fahrzeuge,1
