Subclass,Superclass,labels
Collectible Metalware,Collectibles,1
Collectible Advertising,Collectibles,1
Tobacciana,Collectibles,1
"Comic Books, Manga & Memorabilia",Collectibles,1
Sewing Collectibles (1930-Now),Collectibles,1
Breweriana & Beer Collectibles,Collectibles,1
Paper Collectibles,Collectibles,1
Ethnic & Cultural Collectibles,Collectibles,1
Transportation Collectibles,Collectibles,1
"Radio, Phonograph, TV & Phone Collectibles",Collectibles,1
Militaria,Collectibles,1
Disneyana,Collectibles,1
Collectible Pinbacks & Lunchboxes,Collectibles,1
Collectible Pens & Writing Instruments,Collectibles,1
Non-Sport Trading Cards & Accessories,Collectibles,1
Holiday & Seasonal Collectibles,Collectibles,1
Religion & Spirituality Collectibles,Collectibles,1
Collectible Bottles & Insulators,Collectibles,1
Collectible Lighting & Lamps,Collectibles,1
Animal Collectibles,Collectibles,1
Collectible Historical Memorabilia,Collectibles,1
Science & Medicine Collectibles (1930-Now),Collectibles,1
"Rocks, Fossils & Minerals",Collectibles,1
"Fantasy, Mythical & Magic Collectibles",Collectibles,1
"Collectible Knives, Swords, Blades, Armors & Accessories",Collectibles,1
Kitchen & Home Collectibles,Collectibles,1
Casino Collectibles,Collectibles,1
"Vanity, Perfume & Shaving Collectibles",Collectibles,1
"Bank, Register & Vending Collectibles",Collectibles,1
Collectible Postcards & Supplies,Collectibles,1
Collectible Animation Art & Merchandise,Collectibles,1
"Collectible Pez, Keychains & Promo Glasses",Collectibles,1
"Arcade, Jukebox & Pinball Collectibles",Collectibles,1
Collectible Photographic Images,Collectibles,1
Collectible Autographs,Collectibles,1
Collectibles Wholesale Lots,Collectibles,1
"Vintage, Retro & Mid-Century Collectibles",Collectibles,1
Collectible Figures & Supplies,Collectibles,1
Collectible Baby & Nursery,Collectibles,1
Travel Souvenirs & Memorabilia,Collectibles,1
Collectible Linens & Textiles,Collectibles,1
"Collectible Non-Sport Stickers, Collections & Albums",Collectibles,1
Advertising Merchandise & Memorabilia,Collectibles,1
Collectible Soda Advertising,Collectibles,1
Collectible Gas & Oil Advertising,Collectibles,1
Collectible Food & Beverage Advertising,Collectibles,1
Collectible Agriculture Advertising,Collectibles,1
"Collectible Clothing, Shoe & Accessory Advertising",Collectibles,1
Collectible Communication & Utility Advertising,Collectibles,1
Collectible Restaurant & Fast Food Advertising,Collectibles,1
Collectible Tire Advertising,Collectibles,1
Collectible Household Advertising,Collectibles,1
Collectible Retail Store Advertising,Collectibles,1
Collectible Health & Beauty Advertising,Collectibles,1
Collectible Hotel & Motel Advertising,Collectibles,1
Collectible Lighters,Collectibles,1
Collectible Tobacco Pipes,Collectibles,1
Cigar Collectibles,Collectibles,1
Comic Book & Manga Merchandise & Memorabilia,Collectibles,1
Manga & Asian Comics,Collectibles,1
Franco-Belgian & European Comics,Collectibles,1
Comics,Collectibles,1
Comic Book Supplies & Accessories,Collectibles,1
Collectible Sewing Buttons,Collectibles,1
Collectible Sewing Thimbles,Collectibles,1
Collectible US Beer Cans,Collectibles,1
Collectible Beer Signs & Tins,Collectibles,1
Collectible Beer Drinkware & Steins,Collectibles,1
Collectible Beer Tap Handles & Knobs,Collectibles,1
Collectible Calendars,Collectibles,1
Collectible Vintage Greeting Cards,Collectibles,1
Collectible Pin Ups,Collectibles,1
Collectible Booklets,Collectibles,1
Collectible Brochures,Collectibles,1
Collectible Documents,Collectibles,1
Western Americana Collectibles,Collectibles,1
US Native American Collectibles,Collectibles,1
Asian Collectibles,Collectibles,1
Hawaiian Collectibles,Collectibles,1
Latin American Collectibles,Collectibles,1
African Collectibles,Collectibles,1
Black Americana Collectibles,Collectibles,1
Railroadiana & Trains,Collectibles,1
Automobilia,Collectibles,1
Aviation Collectibles,Collectibles,1
Bike Collectibles,Collectibles,1
Boat & Ship Collectibles,Collectibles,1
Collectible Maps & Atlases,Collectibles,1
Motorcycle Collectibles,Collectibles,1
Truck Collectibles,Collectibles,1
Collectible Telephones,Collectibles,1
Collectible Phonographs & Accessories,Collectibles,1
WW I Collectibles,Collectibles,1
Civil War Collectibles,Collectibles,1
Militaria (1903-1913),Collectibles,1
WW II Collectibles,Collectibles,1
Korean Militaria (1950-1953),Collectibles,1
Vietnam War Collectibles,Collectibles,1
Military Surplus Collectibles,Collectibles,1
Militaria (Pre-1700),Collectibles,1
Indian War Collectibles (1866-1897),Collectibles,1
Revolutionary War Collectibles (1775-83),Collectibles,1
Spanish-American War Collectibles (1898-1902),Collectibles,1
Desert Storm Collectibles (1990-1991),Collectibles,1
Militaria (1700-1774),Collectibles,1
Militaria (1919-1938),Collectibles,1
Militaria (1946-1949),Collectibles,1
Militaria (1954-1960),Collectibles,1
Current Militaria (2001-Now),Collectibles,1
Military Collectibles (Unknown Date),Collectibles,1
Militaria (1992-2001),Collectibles,1
Vintage Disney Collectibles (Pre-1968),Collectibles,1
Collectible Lunchboxes & Thermoses,Collectibles,1
Collectible Pinbacks,Collectibles,1
Star Wars Collectibles,Collectibles,1
Star Trek Collectibles,Collectibles,1
Collectible Pens,Collectibles,1
Collectible Pencils,Collectibles,1
Collectible Desktop Items,Collectibles,1
Collectible Pen Accessories,Collectibles,1
Non-Sport Trading Card Supplies & Accessories,Collectibles,1
Christian Collectibles,Collectibles,1
Judaica Collectibles,Collectibles,1
Islamic Collectibles,Collectibles,1
Buddhism Collectibles,Collectibles,1
Wiccan & Pagan Collectibles,Collectibles,1
Collectible Bottles,Collectibles,1
Model Horse Collectibles,Collectibles,1
Bird Collectibles,Collectibles,1
Cat Collectibles,Collectibles,1
Farm & Countryside Animal Collectibles,Collectibles,1
Fish & Marine Collectibles,Collectibles,1
Dog Collectibles,Collectibles,1
Insect & Butterfly Collectibles,Collectibles,1
Wild Animal Collectibles,Collectibles,1
Small Pet Collectibles,Collectibles,1
Collectible Horse Merchandise & Memorabilia,Collectibles,1
Police Collectibles,Collectibles,1
Fraternal Organization Collectibles,Collectibles,1
Astronaut & Space Travel Collectibles,Collectibles,1
