Subclass,Superclass,labels
Live Animals,Animals & Pet Supplies,1
Pet Supplies,Animals & Pet Supplies,1
Bird Supplies,Animals & Pet Supplies,1
Cat Supplies,Animals & Pet Supplies,1
Dog Supplies,Animals & Pet Supplies,1
Pet Agility Equipment,Animals & Pet Supplies,1
Pet Apparel Hangers,Animals & Pet Supplies,1
Pet Bells & Charms,Animals & Pet Supplies,1
Pet Biometric Monitors,Animals & Pet Supplies,1
Pet Bowl Stands,Animals & Pet Supplies,1
"Pet Bowls, Feeders & Waterers",Animals & Pet Supplies,1
Pet Carrier & Crate Accessories,Animals & Pet Supplies,1
Pet Carriers & Crates,Animals & Pet Supplies,1
Pet Collars & Harnesses,Animals & Pet Supplies,1
Pet Containment Systems,Animals & Pet Supplies,1
Pet Door Accessories,Animals & Pet Supplies,1
Pet Doors,Animals & Pet Supplies,1
Pet Eye Drops & Lubricants,Animals & Pet Supplies,1
Pet First Aid & Emergency Kits,Animals & Pet Supplies,1
Pet Flea & Tick Control,Animals & Pet Supplies,1
Pet Food Scoops,Animals & Pet Supplies,1
Pet Grooming Supplies,Animals & Pet Supplies,1
Pet Heating Pad Accessories,Animals & Pet Supplies,1
Pet Heating Pads,Animals & Pet Supplies,1
Pet ID Tags,Animals & Pet Supplies,1
Pet Leash Extensions,Animals & Pet Supplies,1
Pet Leashes,Animals & Pet Supplies,1
Pet Medical Collars,Animals & Pet Supplies,1
Pet Medical Tape & Bandages,Animals & Pet Supplies,1
Pet Medicine,Animals & Pet Supplies,1
Pet Muzzles,Animals & Pet Supplies,1
Pet Oral Care Supplies,Animals & Pet Supplies,1
Pet Playpens,Animals & Pet Supplies,1
Pet Steps & Ramps,Animals & Pet Supplies,1
Pet Strollers,Animals & Pet Supplies,1
Pet Sunscreen,Animals & Pet Supplies,1
Pet Training Aids,Animals & Pet Supplies,1
Pet Vitamins & Supplements,Animals & Pet Supplies,1
Pet Waste Bag Dispensers & Holders,Animals & Pet Supplies,1
Pet Waste Bags,Animals & Pet Supplies,1
Pet Waste Disposal Systems & Tools,Animals & Pet Supplies,1
Reptile & Amphibian Supplies,Animals & Pet Supplies,1
Vehicle Pet Barriers,Animals & Pet Supplies,1
Clothing,Apparel & Accessories,1
Clothing Accessories,Apparel & Accessories,1
Costumes & Accessories,Apparel & Accessories,1
"Handbags, Wallets & Cases",Apparel & Accessories,1
Jewelry,Apparel & Accessories,1
Shoe Accessories,Apparel & Accessories,1
Shoes,Apparel & Accessories,1
Activewear,Apparel & Accessories,1
Baby & Toddler Clothing,Apparel & Accessories,1
Dresses,Apparel & Accessories,1
One-Pieces,Apparel & Accessories,1
Outerwear,Apparel & Accessories,1
Outfit Sets,Apparel & Accessories,1
Pants,Apparel & Accessories,1
