Subclass,Superclass,labels
Animals & Pet Supplies,Root Concept,1
Apparel & Accessories,Root Concept,1
Arts & Entertainment,Root Concept,1
Baby & Toddler,Root Concept,1
Business & Industrial,Root Concept,1
Cameras & Optics,Root Concept,1
Electronics,Root Concept,1
"Food, Beverages & Tobacco",Root Concept,1
Furniture,Root Concept,1
Hardware,Root Concept,1
Health & Beauty,Root Concept,1
Home & Garden,Root Concept,1
Luggage & Bags,Root Concept,1
Mature,Root Concept,1
Media,Root Concept,1
Office Supplies,Root Concept,1
Religious & Ceremonial,Root Concept,1
Software,Root Concept,1
Sporting Goods,Root Concept,1
Toys & Games,Root Concept,1
Vehicles & Parts,Root Concept,1
Live Animals,Root Concept,1
Pet Supplies,Root Concept,1
Clothing,Root Concept,1
Clothing Accessories,Root Concept,1
Costumes & Accessories,Root Concept,1
Handbag & Wallet Accessories,Root Concept,1
"Handbags, Wallets & Cases",Root Concept,1
Jewelry,Root Concept,1
Shoe Accessories,Root Concept,1
Shoes,Root Concept,1
Event Tickets,Root Concept,1
Hobbies & Creative Arts,Root Concept,1
Party & Celebration,Root Concept,1
Baby Bathing,Root Concept,1
Baby Gift Sets,Root Concept,1
Baby Health,Root Concept,1
Baby Safety,Root Concept,1
Baby Toys & Activity Equipment,Root Concept,1
Baby Transport,Root Concept,1
Baby Transport Accessories,Root Concept,1
Diapering,Root Concept,1
Nursing & Feeding,Root Concept,1
Potty Training,Root Concept,1
Swaddling & Receiving Blankets,Root Concept,1
Agriculture,Root Concept,1
Automation Control Components,Root Concept,1
Construction,Root Concept,1
Film & Television,Root Concept,1
Finance & Insurance,Root Concept,1
Food Service,Root Concept,1
Forestry & Logging,Root Concept,1
Hairdressing & Cosmetology,Root Concept,1
Heavy Machinery,Root Concept,1
Hotel & Hospitality,Root Concept,1
Industrial Storage,Root Concept,1
Industrial Storage Accessories,Root Concept,1
Janitorial Carts & Caddies,Root Concept,1
Law Enforcement,Root Concept,1
Manufacturing,Root Concept,1
Material Handling,Root Concept,1
Medical,Root Concept,1
Mining & Quarrying,Root Concept,1
Piercing & Tattooing,Root Concept,1
Retail,Root Concept,1
Science & Laboratory,Root Concept,1
Signage,Root Concept,1
Work Safety Protective Gear,Root Concept,1
Camera & Optic Accessories,Root Concept,1
Cameras,Root Concept,1
Optics,Root Concept,1
Photography,Root Concept,1
Arcade Equipment,Root Concept,1
Audio,Root Concept,1
Circuit Boards & Components,Root Concept,1
Communications,Root Concept,1
Components,Root Concept,1
Computers,Root Concept,1
Electronics Accessories,Root Concept,1
GPS Accessories,Root Concept,1
GPS Navigation Systems,Root Concept,1
GPS Tracking Devices,Root Concept,1
Marine Electronics,Root Concept,1
Networking,Root Concept,1
"Print, Copy, Scan & Fax",Root Concept,1
Radar Detectors,Root Concept,1
Speed Radars,Root Concept,1
Toll Collection Devices,Root Concept,1
Video,Root Concept,1
Video Game Console Accessories,Root Concept,1
Video Game Consoles,Root Concept,1
Beverages,Root Concept,1
Food Items,Root Concept,1
Baby & Toddler Furniture,Root Concept,1
Beds & Accessories,Root Concept,1
Benches,Root Concept,1
Cabinets & Storage,Root Concept,1
Carts & Islands,Root Concept,1
Chair Accessories,Root Concept,1
Chairs,Root Concept,1
Entertainment Centers & TV Stands,Root Concept,1
Furniture Sets,Root Concept,1
Futon Pads,Root Concept,1
Futons,Root Concept,1
Office Furniture,Root Concept,1
Office Furniture Accessories,Root Concept,1
Ottomans,Root Concept,1
Outdoor Furniture,Root Concept,1
Outdoor Furniture Accessories,Root Concept,1
Room Divider Accessories,Root Concept,1
Shelving,Root Concept,1
Shelving Accessories,Root Concept,1
Sofa Accessories,Root Concept,1
Table Accessories,Root Concept,1
Tables,Root Concept,1
Building Consumables,Root Concept,1
Building Materials,Root Concept,1
Fencing & Barriers,Root Concept,1
Fuel,Root Concept,1
Fuel Containers & Tanks,Root Concept,1
Hardware Pumps,Root Concept,1
"Heating, Ventilation & Air Conditioning",Root Concept,1
Locks & Keys,Root Concept,1
Plumbing,Root Concept,1
Power & Electrical Supplies,Root Concept,1
Small Engines,Root Concept,1
Storage Tanks,Root Concept,1
Tool Accessories,Root Concept,1
Tools,Root Concept,1
Health Care,Root Concept,1
Jewelry Cleaning & Care,Root Concept,1
Personal Care,Root Concept,1
Bathroom Accessories,Root Concept,1
Business & Home Security,Root Concept,1
Decor,Root Concept,1
Emergency Preparedness,Root Concept,1
Fireplace & Wood Stove Accessories,Root Concept,1
Fireplaces,Root Concept,1
"Flood, Fire & Gas Safety",Root Concept,1
Household Appliance Accessories,Root Concept,1
Household Appliances,Root Concept,1
Household Supplies,Root Concept,1
Kitchen & Dining,Root Concept,1
Lawn & Garden,Root Concept,1
Lighting,Root Concept,1
Lighting Accessories,Root Concept,1
Linens & Bedding,Root Concept,1
Parasols & Rain Umbrellas,Root Concept,1
Plants,Root Concept,1
Pool & Spa,Root Concept,1
Smoking Accessories,Root Concept,1
Umbrella Sleeves & Cases,Root Concept,1
Wood Stoves,Root Concept,1
Backpacks,Root Concept,1
Briefcases,Root Concept,1
Cosmetic & Toiletry Bags,Root Concept,1
Diaper Bags,Root Concept,1
Dry Boxes,Root Concept,1
Duffel Bags,Root Concept,1
