category,label,moved,original,orig_label,prediction,pred_label,wup_sim
41,Esso Advertising,False,156204,Collectible Gas & Oil Company Advertising,156204,Collectible Gas & Oil Company Advertising,1.0
44,Collectible Tobacco Cigarettes,True,593,Tobacciana,11671,Cigar Collectibles,0.8
60,Original Autographed TV Memorabilia,False,57,Original Autographed Entertainment Memorabilia,57,Original Autographed Entertainment Memorabilia,1.0
80,Comic Book & Manga Collectible Figurines,False,259116,Comic Book & Manga Merchandise & Memorabilia,259116,Comic Book & Manga Merchandise & Memorabilia,1.0
126,Collectible Paper Ephemera (1960-Now),False,41187,Collectible Paper Ephemera,41187,Collectible Paper Ephemera,1.0
142,Disney Plush Toys (1968-Now),False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),1.0
144,"Disney Posters, Prints & Lithos (1968-Now)",False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),1.0
156,X-Files Collectibles,True,152,Sci-Fi & Horror Collectibles,10860,"Fantasy, Mythical & Magic Collectibles",0.5
164,Computer Processors (CPUs),False,175673,Computer Components & Parts,175673,Computer Components & Parts,1.0
169,"Floppy, Zip & Jaz Drives",False,165,"Computer Drives, Storage & Blank Media",165,"Computer Drives, Storage & Blank Media",1.0
177,PC Laptops & Netbooks,False,175672,Laptops & Netbooks,175672,Laptops & Netbooks,1.0
179,PC Desktops & All-In-One Computers,False,171957,Desktops & All-In-One Computers,171957,Desktops & All-In-One Computers,1.0
185,Web & Desktop Publishing Software,False,18793,Computer Software,18793,Computer Software,1.0
200,Black & White Movie Photos (1990-1999),True,60325,Movie Photos (1990-1999),18823,Movie Photos,0.8571428571428571
206,NFL Fan Apparel & Souvenirs,False,24409,Sports Fan Apparel & Souvenirs,24409,Sports Fan Apparel & Souvenirs,1.0
209,Antique Western Americana Collectibles,False,4007,Western Americana Collectibles,4007,Western Americana Collectibles,1.0
229,Friction Toys (Pre-1970),False,19073,Friction Toys,19073,Friction Toys,1.0
265,US Stamp Sheets,False,261,United States Stamps,261,United States Stamps,1.0
280,Magazines,False,267,Books & Magazines,267,Books & Magazines,1.0
309,VHS Tapes,False,11232,Movies & TV,11232,Movies & TV,1.0
360,Art Prints,False,550,Art,550,Art,1.0
381,LaserDisc Movies,False,11232,Movies & TV,11232,Movies & TV,1.0
387,Teddy Bear Clothing & Accessories,False,262353,"Teddy Bears, Clothing & Accessories",262353,"Teddy Bears, Clothing & Accessories",1.0
428,Golf Fan Apparel & Souvenirs,False,24409,Sports Fan Apparel & Souvenirs,24409,Sports Fan Apparel & Souvenirs,1.0
429,Horse Racing Fan Apparel & Souvenirs,False,24409,Sports Fan Apparel & Souvenirs,24409,Sports Fan Apparel & Souvenirs,1.0
430,Tennis Fan Apparel & Souvenirs,False,24409,Sports Fan Apparel & Souvenirs,24409,Sports Fan Apparel & Souvenirs,1.0
437,Beanbag Plush Accessories,False,49019,Beanbag Plushies,49019,Beanbag Plushies,1.0
438,Current Original Beanie Babies,False,19205,Original Beanie Babies,19205,Original Beanie Babies,1.0
439,Disney Beanbag Plushies,False,49019,Beanbag Plushies,49019,Beanbag Plushies,1.0
440,Retired Original Beanie Babies,True,19205,Original Beanie Babies,165958,Beanie Babies 2.0,0.75
441,Ty Teenie Beanies,False,19203,Ty Beanbag Plushies,19203,Ty Beanbag Plushies,1.0
476,Collectible Refrigerator Magnets,True,261694,Collectible Kitchen Tools & Gadgets,13905,Kitchen & Home Collectibles,0.8
524,US Coin Errors,False,253,US Coins,253,US Coins,1.0
525,US Coin Collections & Lots,False,253,US Coins,253,US Coins,1.0
526,US Coin Mint Sets,False,253,US Coins,253,US Coins,1.0
527,US Gold Coins Mixed Lots,False,39467,US Gold Coins (Pre-1933),39467,US Gold Coins (Pre-1933),1.0
528,US Colonial Coins,False,253,US Coins,253,US Coins,1.0
529,US Commemorative Coins Mixed Lots,False,15903,US Commemorative Coins,15903,US Commemorative Coins,1.0
530,US Coin & Paper Money Publications,False,82190,Coin & Paper Money Publications,82190,Coin & Paper Money Publications,1.0
539,France Coins,False,45148,European Coins,45148,European Coins,1.0
543,World Coin Errors,False,256,World Coins,256,World Coins,1.0
544,World Coin Collections & Lots,False,256,World Coins,256,World Coins,1.0
545,World Mint & Proof Coin Sets,False,256,World Coins,256,World Coins,1.0
546,World Commemorative Coins,False,256,World Coins,256,World Coins,1.0
547,World Gold Coins,False,256,World Coins,256,World Coins,1.0
548,World Coin & Paper Money Publications,True,82190,Coin & Paper Money Publications,83274,Coin & Paper Money Publications & Supplies,0.8
551,Art Paintings,False,550,Art,550,Art,1.0
