category,label,moved,original,orig_label,prediction,pred_label
41,Esso Advertising,False,156204,Collectible Gas & Oil Company Advertising,156204,Collectible Gas & Oil Company Advertising
44,Collectible Tobacco Cigarettes,False,593,Tobacciana,593,Tobacciana
60,Original Autographed TV Memorabilia,False,57,Original Autographed Entertainment Memorabilia,57,Original Autographed Entertainment Memorabilia
80,Comic Book & Manga Collectible Figurines,False,259116,Comic Book & Manga Merchandise & Memorabilia,259116,Comic Book & Manga Merchandise & Memorabilia
126,Collectible Paper Ephemera (1960-Now),False,41187,Collectible Paper Ephemera,41187,Collectible Paper Ephemera
142,Disney Plush Toys (1968-Now),False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now)
144,"Disney Posters, Prints & Lithos (1968-Now)",False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now)
156,X-Files Collectibles,True,152,Sci-Fi & Horror Collectibles,261733,Collectible Kitchen Linens & Textiles
164,Computer Processors (CPUs),False,175673,Computer Components & Parts,175673,Computer Components & Parts
169,"Floppy, Zip & Jaz Drives",False,165,"Computer Drives, Storage & Blank Media",165,"Computer Drives, Storage & Blank Media"
177,PC Laptops & Netbooks,False,175672,Laptops & Netbooks,175672,Laptops & Netbooks
179,PC Desktops & All-In-One Computers,False,171957,Desktops & All-In-One Computers,171957,Desktops & All-In-One Computers
185,Web & Desktop Publishing Software,False,18793,Computer Software,18793,Computer Software
200,Black & White Movie Photos (1990-1999),True,60325,Movie Photos (1990-1999),11232,Movies & TV
206,NFL Fan Apparel & Souvenirs,False,24409,Sports Fan Apparel & Souvenirs,24409,Sports Fan Apparel & Souvenirs
209,Antique Western Americana Collectibles,False,4007,Western Americana Collectibles,4007,Western Americana Collectibles
229,Friction Toys (Pre-1970),False,19073,Friction Toys,19073,Friction Toys
265,US Stamp Sheets,False,261,United States Stamps,261,United States Stamps
280,Magazines,False,267,Books & Magazines,267,Books & Magazines
309,VHS Tapes,False,11232,Movies & TV,11232,Movies & TV
360,Art Prints,False,550,Art,550,Art
381,LaserDisc Movies,False,11232,Movies & TV,11232,Movies & TV
387,Teddy Bear Clothing & Accessories,False,262353,"Teddy Bears, Clothing & Accessories",262353,"Teddy Bears, Clothing & Accessories"
428,Golf Fan Apparel & Souvenirs,False,24409,Sports Fan Apparel & Souvenirs,24409,Sports Fan Apparel & Souvenirs
429,Horse Racing Fan Apparel & Souvenirs,False,24409,Sports Fan Apparel & Souvenirs,24409,Sports Fan Apparel & Souvenirs
430,Tennis Fan Apparel & Souvenirs,False,24409,Sports Fan Apparel & Souvenirs,24409,Sports Fan Apparel & Souvenirs
437,Beanbag Plush Accessories,False,49019,Beanbag Plushies,49019,Beanbag Plushies
438,Current Original Beanie Babies,True,19205,Original Beanie Babies,261595,Collectible Baby & Nursery
439,Disney Beanbag Plushies,False,49019,Beanbag Plushies,49019,Beanbag Plushies
440,Retired Original Beanie Babies,True,19205,Original Beanie Babies,261595,Collectible Baby & Nursery
441,Ty Teenie Beanies,False,19203,Ty Beanbag Plushies,19203,Ty Beanbag Plushies
476,Collectible Refrigerator Magnets,True,261694,Collectible Kitchen Tools & Gadgets,71258,"Refrigerators, Freezers, Parts & Accessories"
524,US Coin Errors,False,253,US Coins,253,US Coins
525,US Coin Collections & Lots,False,253,US Coins,253,US Coins
526,US Coin Mint Sets,False,253,US Coins,253,US Coins
527,US Gold Coins Mixed Lots,False,39467,US Gold Coins (Pre-1933),39467,US Gold Coins (Pre-1933)
528,US Colonial Coins,False,253,US Coins,253,US Coins
529,US Commemorative Coins Mixed Lots,False,15903,US Commemorative Coins,15903,US Commemorative Coins
530,US Coin & Paper Money Publications,False,82190,Coin & Paper Money Publications,82190,Coin & Paper Money Publications
539,France Coins,False,45148,European Coins,45148,European Coins
543,World Coin Errors,False,256,World Coins,256,World Coins
544,World Coin Collections & Lots,False,256,World Coins,256,World Coins
545,World Mint & Proof Coin Sets,False,256,World Coins,256,World Coins
546,World Commemorative Coins,False,256,World Coins,256,World Coins
547,World Gold Coins,False,256,World Coins,256,World Coins
548,World Coin & Paper Money Publications,False,82190,Coin & Paper Money Publications,82190,Coin & Paper Money Publications
551,Art Paintings,False,550,Art,550,Art
552,Art Drawings,False,550,Art,550,Art
553,Art Sculptures,False,550,Art,550,Art
554,Mixed Media Art & Collage Art,False,550,Art,550,Art
556,Collectible Calendars (1960-1979),False,41183,Collectible Calendars,41183,Collectible Calendars
563,Collectible Glass Beer Bottles,False,562,Breweriana & Beer Collectibles,562,Breweriana & Beer Collectibles
565,Collectible Beer Coasters,False,562,Breweriana & Beer Collectibles,562,Breweriana & Beer Collectibles
566,Collectible Beer Openers,False,562,Breweriana & Beer Collectibles,562,Breweriana & Beer Collectibles
567,Collectible Beer Labels,False,562,Breweriana & Beer Collectibles,562,Breweriana & Beer Collectibles
568,Pre-Prohibition Beer Collectibles,False,562,Breweriana & Beer Collectibles,562,Breweriana & Beer Collectibles
572,Collectible Beer Trays,False,562,Breweriana & Beer Collectibles,562,Breweriana & Beer Collectibles
580,Collectible Open Salts,True,261667,Collectible Dinnerware & Serveware,177731,Salon & Spa Equipment
583,Military Original Period Items (1903-1913),False,156387,Militaria (1903-1913),156387,Militaria (1903-1913)
586,Original Korean Military Period Items (1950-1953),False,156440,Korean Militaria (1950-1953),156440,Korean Militaria (1950-1953)
591,Godzilla Collectibles,True,152,Sci-Fi & Horror Collectibles,19193,Monster Toys
594,Collectible Tobacco Ashtrays,False,593,Tobacciana,593,Tobacciana
599,Collectible Vanity Accessories,False,597,"Vanity, Perfume & Shaving Collectibles",597,"Vanity, Perfume & Shaving Collectibles"
600,Collectible Cosmetic Compacts (Unknown Date),False,35979,Collectible Cosmetic Compacts,35979,Collectible Cosmetic Compacts
601,Collectible Hatpins,False,597,"Vanity, Perfume & Shaving Collectibles",597,"Vanity, Perfume & Shaving Collectibles"
605,Collectible Sewing Machines,False,113,Sewing Collectibles (1930-Now),113,Sewing Collectibles (1930-Now)
617,DVDs & Blu-ray Discs,False,11232,Movies & TV,11232,Movies & TV
675,Used US Stamps (19th Century),False,261,United States Stamps,261,United States Stamps
676,Unused US Stamps (19th Century),False,261,United States Stamps,261,United States Stamps
678,Used US Stamps (1901-Now),False,261,United States Stamps,261,United States Stamps
679,Unused US Stamps (1941-Now),False,261,United States Stamps,261,United States Stamps
680,US Back of Book Air Mail Stamps,False,47141,US Back of Book Stamps,47141,US Back of Book Stamps
682,US Postal Stamp Plate Blocks & Multiples,False,261,United States Stamps,261,United States Stamps
683,US Stamp Collections & Lots,False,261,United States Stamps,261,United States Stamps
685,US Back of Book Duck Stamps,False,47141,US Back of Book Stamps,47141,US Back of Book Stamps
686,"US Stamp Errors, Freaks & Oddities",False,261,United States Stamps,261,United States Stamps
687,US First Day Covers (2001-Now),False,139779,US First Day Covers (1951-Now),139779,US First Day Covers (1951-Now)
